"","date","sal_nom","ipc","sal_real","sal_nom_dig","sal_real_dig","sal_nom_ita","sal_real_ita","sal_nom_pun","sal_real_pun","sal_nom_p","sal_nom_im","sal_nom_ega","sal_nom_c","sal_nom_tc","sal_nom_ssp","sal_nom_ap","sal_nom_ane","sal_nom_agcs","sal_nom_emc","sal_nom_con","sal_nom_hr","sal_nom_if","sal_nom_aiea","sal_real_p","sal_real_im","sal_real_ega","sal_real_c","sal_real_tc","sal_real_ssp","sal_real_ap","sal_real_ane","sal_real_agcs","sal_real_emc","sal_real_con","sal_real_hr","sal_real_if","sal_real_aiea","sal_nom_hom","sal_nom_muj","sal_real_hom","sal_real_muj"
"1",2002-10-01,118117.348920863,76.452,174969.781893054,126047.909774436,186717.493093116,119100.797101449,176426.584938774,99718.5665236051,147715.267864782,NA,NA,NA,100009.75,91447.8928571429,139819.105263158,NA,NA,89930.5174129353,NA,141698.51980198,NA,NA,128214.440860215,NA,NA,NA,148146.604241877,135463.740203937,207117.062615139,NA,NA,133216.019162545,NA,209901.079992338,NA,NA,189926.822416933,124582.681444992,100617.848888889,184547.018699907,149047.394269171
"2",2002-11-01,130306.058921623,76.3886597278191,193185.234895535,143923.648183556,213373.990522469,112697.933110368,167080.309698131,110528.154185022,163863.50416481,NA,186052.741176471,NA,114345.527027027,122529.1875,132316.4,NA,NA,102010.145539906,NA,162758.273159145,NA,NA,123500.295774648,NA,275832.473214108,NA,169522.949897952,181655.634930868,196165.665864443,NA,NA,151235.131282021,NA,241297.261935864,NA,NA,183095.351408363,134727.125628141,115137.226600985,199739.686908401,170696.684023806
"3",2002-12-01,142866.971219931,76.7216411699856,210888.143735211,154544.833787466,228126.017112334,118348.075067024,174695.422268728,126444.889117043,186647.254596363,NA,208791.259615385,NA,128871,120684.558139535,146914.674603175,NA,NA,115421.043636364,NA,183801.741935484,125250.614035088,NA,117119.862170088,NA,308200.004468788,NA,190228.474357892,178144.341034368,216863.021242545,NA,NA,170374.785946731,NA,271312.591294473,184884.366694477,NA,172882.438233756,147467.508654383,127523.279329609,217679.068127682,188239.083051942
"4",2003-01-01,147471.753583882,76.9362706633035,217078.056284585,156154.966894977,229859.724787664,123037.422818792,181110.781873059,132534.730696799,195090.795563757,NA,182463.12244898,NA,134158.454545455,149387.751552795,154379.129032258,NA,NA,109498.084415584,NA,171008.488529015,129027.704225352,NA,155448.45814978,NA,268585.264650774,NA,197480.913050281,219898.400552752,227245.69584892,NA,NA,161180.909253244,NA,251724.071870673,189928.461277638,NA,228819.745663334,154962.176817289,119489.181651376,228103.940745448,175887.779656479
"5",2003-02-01,153795.773945077,76.935234077248,226390.048827197,164221.562252964,241736.990186766,127320.60625,187418.142425288,134123.278816199,197431.794523214,NA,194070.192982456,NA,130913.328214971,155080.15819209,171090.273255814,NA,NA,110085.80030722,NA,186057.221271394,130855.345679012,NA,157810.25093633,NA,285674.692731751,NA,192706.691520029,228280.684733084,251847.852009733,NA,NA,162048.208916538,NA,273879.459284269,192621.34022064,NA,232299.428641429,161813.401909722,126709.828445748,238192.136360776,186519.066895575
"6",2003-03-01,156480.091974224,76.7669056406926,230846.486102041,166957.83254818,246303.721353315,130341.78978979,192286.084354937,135352.116621984,199677.544372901,NA,178787.87745098,NA,133093.984172662,150901.427135678,186965.041509434,NA,NA,122094.887675507,NA,194522.060786651,116763.23655914,NA,147482.428985507,NA,263755.936914964,NA,196346.245582734,222616.588235344,275819.257976182,NA,NA,180119.882569835,NA,286967.713498807,172254.390481946,NA,217572.72802924,167193.136854742,127221.18579235,246650.852874323,187682.42865512
"7",2003-04-01,159744.232989691,77.0363986537555,234837.488540886,172456.749463749,253525.959391632,131448.506060606,193240.384694929,132093.979564033,194189.285156795,NA,207382.87254902,NA,131763.044233807,151112.684729064,195573.831360947,NA,NA,109512.28363047,NA,199030.488916256,118866.941176471,198327.518518519,153545.051351351,NA,304870.304513275,NA,193702.782324329,222148.384979471,287510.018493673,NA,NA,160992.288553018,NA,292591.59648771,174744.423720267,291558.17074436,225724.168956759,170194.822555205,128891.27008149,250200.736161196,189481.032236924
"8",2003-05-01,168348.989444272,77.2556519455296,246784.831587549,180036.30542089,263917.410253576,139607.631410256,204652.525207593,140925.2140625,206583.985645877,NA,203235.857819905,NA,144386.04,162516.463414634,198227.084931507,NA,NA,110698.343815514,NA,204262.803797468,120622.247311828,180062.070422535,168206.198300283,NA,297925.916337259,NA,211657.252488518,238234.860728171,290583.495228561,NA,NA,162274.048841709,NA,299431.328938541,176821.61970099,263955.179482918,246575.512312525,175241.27294686,145119.094979647,256888.313818447,212731.846700778
"9",2003-06-01,167636.9,77.8357662695089,243909.44979284,181768.076626712,264470.122985597,126670.877906977,184304.43497265,138532.104615385,201562.361361864,NA,211815.067961165,NA,148860.666666667,153644.621276596,192895.304020101,NA,NA,103983.979466119,NA,205053.040053405,123061.900900901,185855.890410959,169400.127659574,NA,308188.093935409,NA,216590.281152073,223550.871193656,280660.090178029,NA,NA,151295.300848745,NA,298349.433673464,179053.421646426,270417.837426577,246474.922479977,175125.902717605,143598.242730721,254805.848690387,208933.52463371
"10",2003-07-01,172211.839409964,78.4415250954204,248630.948843153,185866.013556619,268344.171147636,136203.637333333,196644.084994984,142998.328169014,206453.924059239,NA,221871.364035088,NA,152275.032400589,162327.315384615,198206.068010076,152559.647058824,NA,115770.859649123,NA,211931.370473538,135423.686131387,209571.802469136,168552.341981132,NA,320326.91799921,NA,219847.171487153,234360.16121493,286160.132338523,220258.084074661,NA,167144.249672787,NA,305976.046194051,195518.029968479,302569.418439511,243347.547184261,180007.806914307,147958.709382151,259886.381712324,213615.47748014
