"","variable","descripción"
"1","date","fecha"
"2","sal_nom","Salario Nominal Ñuble"
"3","ipc","Índice de Precios al Consumidor"
"4","sal_real","Salario Real Ñuble"
"5","sal_nom_dig","Salario Nominal Diguillín"
"6","sal_real_dig","Salario Real Diguillín"
"7","sal_nom_ita","Salario Nominal Itata"
"8","sal_real_ita","Salario Real Itata"
"9","sal_nom_pun","Salario Nominal Punilla"
"10","sal_real_pun","Salario Real Punilla"
"11","sal_nom_p","Salario Nominal Pesca"
"12","sal_nom_im","Salario Nominal Industria Manufacturera"
"13","sal_nom_ega","Salario Nominal Electricidad, Gas y Agua"
"14","sal_nom_c","Salario Nominal Comercio"
"15","sal_nom_tc","Salario Nominal transporte"
"16","sal_nom_ssp","Salario Nominal servicios sociales"
"17","sal_nom_ap","salario Nominal administración pública"
"18","sal_nom_ane","Salario Nominal Actividad no especificada"
"19","sal_nom_agcs","Salario Nominal Agricultura"
"20","sal_nom_emc","Salario Nominal Minería"
"21","sal_nom_con","Salario Nominal Construcción"
"22","sal_nom_hr","Salario Nominal Hoteles y Restaurantes"
"23","sal_nom_if","Salario Nominal Intermediacion Financiera"
"24","sal_nom_aiea","Salario Nominal Actividades Inmobiliarias"
"25","sal_real_p","Salario Real Pesca"
"26","sal_real_im","Salario Real Industria Manufacturera"
"27","sal_real_ega","Salario Real Electricidad, Gas y Agua"
"28","sal_real_c","Salario Real Comercio"
"29","sal_real_tc","Salario Real transporte"
"30","sal_real_ssp","Salario Real servicios sociales"
"31","sal_real_ap","salario Real administración pública"
"32","sal_real_ane","Salario Real Actividad no especificada"
"33","sal_real_agcs","Salario Real Agricultura"
"34","sal_real_emc","Salario Real Minería"
"35","sal_real_con","Salario Real Construcción"
"36","sal_real_hr","Salario Real Hoteles y Restaurantes"
"37","sal_real_if","Salario Real Intermediacion Financiera"
"38","sal_real_aiea","Salario Real Actividades Inmobiliarias"
"39","sal_nom_hom","Salario Nominal Hombres Ñuble"
"40","sal_nom_muj","Salario Nominal Mujeres Ñuble"
"41","sal_real_hom","Salario Real Hombres Ñuble"
"42","sal_real_muj","Salario Real Mujeres Ñuble"
