"","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01"
"Pesca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Industria Manufacturera",596725,563464,565377,576113,574101,618227,588060,594958,662040,614378,592440,596547
"Electricidad, Gas y Agua",868233,805143,829283,815491,845368,860521,811749,822712,888369,822842,864872,819755
"Comercio",469967,466155,468928,482506,486984,501680,471395,461821,510436,489331,485716,484195
"Transporte y Comunicaciones",521391,515151,502017,515182,532978,548424,524554,521870,543325,545817,549977,540804
"Servicios Sociales y Personales",588946,594181,587697,588535,597920,627482,598452,594533,676287,641200,617682,620114
"Administracion Publica",517701,505373,510916,497424,495908,521923,491373,505633,576684,517990,529072,516839
"Actividad no especificada",549264,595786,552918,591899,603858,669787,637757,629502,744909,702243,679291,731877
"Agricultura, Ganadería, Caza y Silvicultura",373516,380687,398550,387079,388034,382466,385319,324812,365123,361953,365378,351919
"Explotación de Minas y Canteras",884353,873190,942816,813112,936546,989222,950148,938914,978342,995746,992261,1024105
"Construcción",606947,581653,572558,592403,585237,610654,591344,602339,632479,591911,594492,602744
"Hoteles y Restaurantes",379264,368922,369944,372859,390921,365634,366617,380837,384488,386299,383740,454955
"Intermediación Financiera",1042190,1010937,1022482,1036292,1020452,1093613,1077373,1047653,1164458,1106434,1105768,1043797
"Actividades Inmobiliarias, Empresariales y de Alquiler",524298,518914,517379,532563,529383,546174,526787,501606,542348,535458,518564,526014
