"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"1","1",0.715216465509742,0.00424583598873945
"2","2",0.443449592967482,0.00467877843843375
"11","1",0.714698982863083,0.00383903395714085
"21","2",0.444196747086423,0.00419550180223737
"12","1",0.715996945668621,0.0037753366809206
"22","2",0.444512844805362,0.00410676888623867
"13","1",0.717846739851831,0.00362176693212327
"23","2",0.446559131075237,0.0041294631442999
"14","1",0.718660127874881,0.00411088292704309
"24","2",0.451733663585287,0.00409064852725454
"15","1",0.719878316973089,0.00410963712111323
"25","2",0.45493835635489,0.00405123658887003
"16","1",0.725793060786703,0.00402043848549206
"26","2",0.457291092149117,0.00389769940038934
"17","1",0.723988366966106,0.00361721040093552
"27","2",0.45785880341875,0.00371690493690616
"18","1",0.722872995206101,0.00351067881104919
"28","2",0.461525899855442,0.00382820890988069
"19","1",0.724627724478095,0.00348529719170122
"29","2",0.465975368303356,0.00374120252720624
"110","1",0.731253651052634,0.0039343467246592
"210","2",0.468481944999943,0.00383191893756077
"111","1",0.734518733294485,0.00394759892303092
"211","2",0.463894885634144,0.00378331054976946
"112","1",0.731953934540754,0.0039584850525607
"212","2",0.466001538487446,0.0037623905614598
"113","1",0.729415147693948,0.00366052309948465
"213","2",0.467640484788606,0.00372966555071399
"114","1",0.724188427481162,0.00366825811336776
"214","2",0.473790060881307,0.0037208284303028
"115","1",0.727921837165363,0.00362089275455423
"215","2",0.474792323072805,0.00382715671856281
"116","1",0.725746775941351,0.00350889236963517
"216","2",0.473627997005669,0.00390686423127517
"117","1",0.728416183911821,0.0034824462811067
"217","2",0.472357056440996,0.00382359572401513
"118","1",0.727681342742113,0.00348714034883793
"218","2",0.474783493937643,0.00382945497871401
"119","1",0.722522946936642,0.00341929786580231
"219","2",0.476936396532491,0.00382815567492454
"120","1",0.720173034326397,0.00359083730057071
"220","2",0.477128278354028,0.00392411855339169
"121","1",0.720866766875287,0.00361053507845312
"221","2",0.478260479225948,0.00387540105508315
"122","1",0.72534692548056,0.00362187410128233
"222","2",0.476724485460517,0.00386802763759694
"123","1",0.728038475951122,0.00355091700052717
"223","2",0.476601740394106,0.003868972838102
"124","1",0.725100428191257,0.0035158816260175
"224","2",0.477179392055835,0.00385399265596132
"125","1",0.723214447852075,0.00356268388753209
"225","2",0.477876164662136,0.00384523331509942
"126","1",0.723722782236425,0.00358555707361559
"226","2",0.477071566621051,0.00389138856255634
"127","1",0.719625248323982,0.00357720163880732
"227","2",0.473128633353189,0.00386301186665386
"128","1",0.713537970388286,0.00352628362898879
"228","2",0.472020976556826,0.00382958173823342
"129","1",0.710933835805836,0.00354564699354973
"229","2",0.471697760207016,0.00384035849276799
"130","1",0.713997122774171,0.00367101559956305
"230","2",0.476971554894492,0.00377352255415181
"131","1",0.71632374362439,0.00356478756408838
"231","2",0.47792101499952,0.00377165287860964
"132","1",0.715977987590512,0.00366159540600792
"232","2",0.478451718860858,0.00383954735932577
"133","1",0.718316159027659,0.00370516087235971
"233","2",0.476657478934315,0.00389721338606669
"134","1",0.722361963014455,0.003709784556161
"234","2",0.476636286852651,0.00391100528864304
"135","1",0.722775465882373,0.00370872340712962
"235","2",0.476026044398051,0.00375184097429086
"136","1",0.7208446317201,0.00358341489971004
"236","2",0.476110314747478,0.00370417231328061
"137","1",0.722617433553172,0.00358940439553236
"237","2",0.478462297515497,0.00368083174155674
"138","1",0.721464667823316,0.00347324654052491
"238","2",0.48000358289093,0.00378507024591413
"139","1",0.717956082720495,0.00347226471880354
"239","2",0.477486798570558,0.00385723393359937
"140","1",0.714604727081588,0.00353173231337115
"240","2",0.471859739903226,0.00386822947820704
"141","1",0.714272657705041,0.00373854021298537
"241","2",0.472203409968484,0.00381788205317628
"142","1",0.713694262621947,0.00378548699791586
"242","2",0.472015840651624,0.00383098228826067
"143","1",0.714315696534385,0.00373014784970812
"243","2",0.476140735815826,0.00387535558911114
"144","1",0.715209949156963,0.00366842164259592
"244","2",0.478425966086656,0.00385213309723782
"145","1",0.719673357887127,0.00367506694151908
"245","2",0.483024863687672,0.00388562625468741
"146","1",0.723810936905623,0.00350571535896945
"246","2",0.484806288466752,0.00383970589282524
"147","1",0.724425630133817,0.00344594728456291
"247","2",0.487064776646511,0.00385846293650485
"148","1",0.721781961557943,0.00343810389294575
"248","2",0.484820795518193,0.00375063903388922
"149","1",0.719899650131355,0.00352133009554437
"249","2",0.484822155125174,0.00375308129590666
"150","1",0.716588199817307,0.00348256111486602
"250","2",0.483020749681017,0.00372890015144912
"151","1",0.715712745990283,0.00345784732687628
"251","2",0.479936179084558,0.00383227873039357
"152","1",0.709915971048539,0.00340552510202246
"252","2",0.479240052336903,0.00386504169648767
"153","1",0.709381118880576,0.00344298799584414
"253","2",0.478447808327295,0.00387158653111569
"154","1",0.707763822402441,0.00347544685369577
"254","2",0.484857053184507,0.0038082802717586
"155","1",0.708756272499548,0.00361550753381164
"255","2",0.486063476822448,0.00376671866137992
"156","1",0.712985014860553,0.00361559794757608
"256","2",0.486905178914079,0.00386730329726304
"157","1",0.717883007545921,0.00363515373162708
"257","2",0.486902124306019,0.00385030756630951
"158","1",0.719980459442394,0.00369611766622573
"258","2",0.483252949483807,0.00384451595165879
"159","1",0.718315967132041,0.00363518750936908
"259","2",0.480949457386971,0.00386714116033188
"160","1",0.718550986872386,0.00366389116066029
"260","2",0.47700084762474,0.00387265324234274
"161","1",0.7168852374733,0.00354983376665182
"261","2",0.479376112809989,0.00397051522292067
"162","1",0.716181046099762,0.00348710587342646
"262","2",0.481959813831337,0.00384777240497558
"163","1",0.713435925016351,0.00354466954144537
"263","2",0.48192314113134,0.00395313818757613
"164","1",0.712322345905967,0.00351899173302762
"264","2",0.480745216752125,0.00389749786758255
"165","1",0.711684450454904,0.00365675311166815
"265","2",0.480979484455987,0.00387489005221357
"166","1",0.714300020892367,0.0035809744128955
"266","2",0.483189853694649,0.00383344103971067
"167","1",0.711864625746,0.00364283036546511
"267","2",0.481807191346854,0.00391183476597895
"168","1",0.713322022330517,0.00363516273560198
"268","2",0.483050423361802,0.00392829275533721
"169","1",0.713025603000176,0.00363291740663549
"269","2",0.487109201739939,0.00389652847156036
"170","1",0.719341249613309,0.00350727342887931
"270","2",0.484107079900872,0.00388081926948574
"171","1",0.719601660628511,0.00349492879453749
"271","2",0.478645718460931,0.00391652240668271
"172","1",0.716457583409892,0.00350451265218676
"272","2",0.476234829218017,0.0039327656073163
"173","1",0.717150373179199,0.00346452588704485
"273","2",0.477928877752439,0.00378428948507069
"174","1",0.714118631130725,0.00349866294605041
"274","2",0.481595243642855,0.00370567387186263
"175","1",0.712211866107723,0.00363043066674154
"275","2",0.480262131581448,0.00369162326653739
"176","1",0.710708310490956,0.0036665792904027
"276","2",0.482895939005773,0.00374472787243242
"177","1",0.710635913107025,0.00357952531351561
"277","2",0.48001263168919,0.00388493136369599
"178","1",0.711718130234316,0.00349551967252367
"278","2",0.480531140902937,0.00393302439919229
"179","1",0.710209222164577,0.00352991101024989
"279","2",0.481304532420735,0.00386374048211709
"180","1",0.711901289371561,0.00354739538865163
"280","2",0.48407219711567,0.00376915725529557
"181","1",0.710293412894928,0.00353418621326885
"281","2",0.484226099395892,0.00370022612915648
"182","1",0.713862296375786,0.00348379583047994
"282","2",0.482825906909911,0.00372163921232219
"183","1",0.712402283777907,0.00351515773533036
"283","2",0.478960963966842,0.00370089748501727
"184","1",0.715988553852292,0.00353078825929077
"284","2",0.47709751310493,0.00380257576055314
"185","1",0.713024875803277,0.00354307987787769
"285","2",0.48063278909643,0.00379293963534318
"186","1",0.714267142960436,0.00346731777280108
"286","2",0.483681792030671,0.00375270445576595
"187","1",0.712570963065856,0.00345626282569521
"287","2",0.482646957325231,0.00368467540906297
"188","1",0.710057729588946,0.00359308726996154
"288","2",0.484204307845732,0.00376834277664429
"189","1",0.707384627607404,0.00359085105416644
"289","2",0.486342258581878,0.00377748095803134
"190","1",0.708432766359413,0.0036420057712963
"290","2",0.488856279058993,0.00371247594566254
