"","sexo","I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)","se.I(cae_general == ""Ocupado"" | cae_general == ""Desocupado"" | cae_general == ""Busca Trabajo Primera Vez"")/I(edad >= 15)"
"1","1",0.683685363615929,0.0312270975228079
"2","2",0.381307944902857,0.0257248252914131
"11","1",0.651271418786792,0.024470076459166
"21","2",0.35230019360913,0.0225468516135056
"12","1",0.644024805970695,0.0268321586109725
"22","2",0.360533952248948,0.0237434220521294
"13","1",0.662838537052183,0.0217457069533648
"23","2",0.380417887409092,0.0195962787757153
"14","1",0.664423839593458,0.0223433042403444
"24","2",0.377188194190209,0.0196885139317474
"15","1",0.684616289840961,0.0211081827273948
"25","2",0.381070574235321,0.0175411393835846
"16","1",0.683065331675178,0.0215723791896776
"26","2",0.378039786072735,0.0242393933078061
"17","1",0.654601343134855,0.0224929990739374
"27","2",0.391557778327869,0.0245122622086355
"18","1",0.649198847097499,0.0213178228719228
"28","2",0.388751133172946,0.025262786580399
"19","1",0.650488244211742,0.0217371992668647
"29","2",0.406256347452607,0.0147135837510828
"110","1",0.680497086764177,0.023137316976985
"210","2",0.418693900937509,0.0201020739755218
"111","1",0.702876573460045,0.0216471129790711
"211","2",0.429856627368906,0.0206058994908021
"112","1",0.702822873907935,0.0237401489234749
"212","2",0.404607851093706,0.0279764444192672
"113","1",0.711324950651248,0.0196891555520094
"213","2",0.400946455715878,0.0272879888973875
"114","1",0.712447608385364,0.0188544018181838
"214","2",0.415637786160105,0.026992426825366
"115","1",0.720868393847914,0.0189654156078165
"215","2",0.421160878011458,0.0274700163423408
"116","1",0.715560330509757,0.0213199434039468
"216","2",0.426684832424743,0.0271970846658314
"117","1",0.708973748380837,0.0214198026682892
"217","2",0.402899011045766,0.0249867840496191
"118","1",0.705132769235403,0.021894948535403
"218","2",0.415831911700178,0.020060462755811
"119","1",0.712347818162657,0.0208067365757044
"219","2",0.411903457158101,0.0208082674604929
"120","1",0.709203219471582,0.0207669907405591
"220","2",0.422264789472145,0.0213877163698614
"121","1",0.708426173749299,0.0201771177747839
"221","2",0.412750243174214,0.0210264490307025
"122","1",0.724743354765334,0.01800710394856
"222","2",0.427905410324604,0.0226657009697572
"123","1",0.733992509834718,0.0167318468619911
"223","2",0.432399420505501,0.0231515483841178
"124","1",0.741208446262843,0.0140265415181003
"224","2",0.446444506873378,0.0255726359730462
"125","1",0.742187757111722,0.0181628981378877
"225","2",0.435382572798889,0.0245035119604581
"126","1",0.726606786560565,0.0195198843336805
"226","2",0.432396971851937,0.0266737392646454
"127","1",0.706486920599135,0.0233589590967985
"227","2",0.444723547984071,0.0256584768926022
"128","1",0.691093421071143,0.0237721163045361
"228","2",0.446961258444379,0.0243440291272857
"129","1",0.699067286257077,0.0247424209860503
"229","2",0.438458013504419,0.0222897804358819
"130","1",0.717901139360326,0.0240225376022615
"230","2",0.43798455193177,0.0227804157405758
"131","1",0.720679683622752,0.023379480172375
"231","2",0.459500960560755,0.0243415600205711
"132","1",0.726521220800161,0.0231377713015004
"232","2",0.461336662947496,0.0244744313976328
"133","1",0.710572928777208,0.0246068153213048
"233","2",0.469920420162748,0.0246877333588231
"134","1",0.726984771467088,0.0225417356326491
"234","2",0.485962106129551,0.0227991917519898
"135","1",0.719504636083129,0.0225918754246691
"235","2",0.484705026896847,0.0223306581135112
"136","1",0.722136834967019,0.0212768316241101
"236","2",0.47955885143434,0.0220165152777434
"137","1",0.709168182489011,0.0200621744216806
"237","2",0.464170407600172,0.0200591483284708
"138","1",0.704703542393871,0.0191402395133722
"238","2",0.458938559272491,0.0202841301616274
"139","1",0.693464164423003,0.0187852052256579
"239","2",0.442719107775834,0.0203681009811237
"140","1",0.681517575794551,0.0199278961537955
"240","2",0.427937318754833,0.0220851176061036
"141","1",0.680569363645074,0.0196138590445917
"241","2",0.435280851573929,0.0219686484743683
"142","1",0.678678400998507,0.0193755636995675
"242","2",0.442586700630557,0.0222853810434528
"143","1",0.682772431923953,0.0182821503771745
"243","2",0.432643340746695,0.0240569621787209
"144","1",0.689856563219353,0.0185421279489509
"244","2",0.426074010361935,0.0239898866305209
"145","1",0.702544434198708,0.0183269458071154
"245","2",0.429400717740814,0.0230019295479012
"146","1",0.69868166781467,0.0193001141450718
"246","2",0.442543117239567,0.0191483098180578
"147","1",0.69873113126926,0.0214941605660226
"247","2",0.438658225285808,0.0187854278046527
"148","1",0.696983435692697,0.0213177550516542
"248","2",0.443862986682623,0.0191167821990738
"149","1",0.701267379315008,0.0202074378083804
"249","2",0.439297260540389,0.0180587712716805
"150","1",0.708664416887804,0.0190080257581534
"250","2",0.443628291482768,0.016615991091018
"151","1",0.692336081715433,0.0208264772168062
"251","2",0.438894184633445,0.016055881694878
"152","1",0.678575932557276,0.0215004189946889
"252","2",0.430596095041818,0.0193732499922606
"153","1",0.6660022095328,0.0220798415514362
"253","2",0.431896307988033,0.0204436402267807
"154","1",0.677683768712909,0.0218272226836936
"254","2",0.425018441749233,0.0207466597934829
"155","1",0.683309269154229,0.0220358946763428
"255","2",0.430823717392216,0.0186275890685977
"156","1",0.688990512052499,0.0225212297910389
"256","2",0.44327288219574,0.016723333005821
"157","1",0.713103122576209,0.0208930172300562
"257","2",0.455971074867149,0.0195854777548758
"158","1",0.715718598072399,0.0198590662060863
"258","2",0.46728086919134,0.021107989802141
"159","1",0.72669963666591,0.0191728318961853
"259","2",0.462919535894995,0.0221931333820087
"160","1",0.704586832969137,0.0205671809313366
"260","2",0.450032941778916,0.0207815007937751
"161","1",0.702346465660734,0.0200809182747948
"261","2",0.450363812625748,0.016209089068441
"162","1",0.684966079502606,0.0186408225525846
"262","2",0.457875076654819,0.018104937690517
"163","1",0.691804219079021,0.0169784323272922
"263","2",0.447860271562612,0.0185505938467532
"164","1",0.691361061873528,0.0170926339835495
"264","2",0.425208882672511,0.019990178340075
"165","1",0.687123116373756,0.0173222659691228
"265","2",0.404469278397698,0.0194740472876107
"166","1",0.69653450281558,0.0169381646656779
"266","2",0.409830733219131,0.0214314615800736
"167","1",0.698683366414712,0.0185251933578218
"267","2",0.406460667662598,0.0208915952928361
"168","1",0.697971874825872,0.0219338774003997
"268","2",0.422906228106123,0.0221182074504151
"169","1",0.707033610510625,0.0228827379045289
"269","2",0.424873687116301,0.0226001429558462
"170","1",0.730288303656883,0.0226172632776562
"270","2",0.446877600295815,0.0204001157019828
"171","1",0.737665185665446,0.018957593460269
"271","2",0.439125656545922,0.0182591047534826
"172","1",0.721787794972666,0.0194501665512574
"272","2",0.458171557921638,0.0168860388513544
"173","1",0.719779849417852,0.0172418200318882
"273","2",0.455486313960787,0.0174407223761158
"174","1",0.721092717800942,0.0184741271594804
"274","2",0.476952343192463,0.0192072592788281
"175","1",0.722143942471932,0.0182557641463804
"275","2",0.469948997192281,0.0204867999475213
"176","1",0.713621198189282,0.0178929175495222
"276","2",0.472894030645878,0.0199499550874651
"177","1",0.692794792575969,0.0184297669457593
"277","2",0.467953741327004,0.022309739904926
"178","1",0.698910357155946,0.0186901386008224
"278","2",0.473649469514317,0.0227527302329852
"179","1",0.706074047550201,0.0199192897410572
"279","2",0.456189419458312,0.0233514186774439
"180","1",0.72287784779276,0.0182459671907064
"280","2",0.454816345587864,0.0208045763329833
"181","1",0.722088895786761,0.0199531308096211
"281","2",0.465951224056672,0.0199716480333122
"182","1",0.71663243298924,0.0198181156640534
"282","2",0.493935358679816,0.024365725006885
"183","1",0.722044942582947,0.0199476882916581
"283","2",0.50641371228885,0.022911876575665
"184","1",0.713033495771235,0.019255621464822
"284","2",0.477805137638758,0.0244204989190284
"185","1",0.708445984741555,0.0192939766951948
"285","2",0.46603782269251,0.0195933301514959
"186","1",0.699064304927024,0.0213494852582755
"286","2",0.455988712419514,0.0188164690475378
"187","1",0.694940664408297,0.0214016735467977
"287","2",0.459122496292169,0.0174943708643711
"188","1",0.688974560689,0.0209457889310715
"288","2",0.434688503265577,0.0185351280570086
"189","1",0.693549883925047,0.0197703153644903
"289","2",0.418479761698096,0.0190643476966447
"190","1",0.696192428663215,0.0199768082939751
"290","2",0.413619555837202,0.019605813402658
