"","sexo","razones","biobio","SE_biobio","cv","frecuencia"
"1",1,"Busca cuando lo necesita",483,251.603674637135,0.520918581029264,5
"2",2,"Busca cuando lo necesita",41,41,1,1
"3",1,"Cuidado de hijos o terceros",136,81.732678710726,0.600975578755339,3
"4",2,"Cuidado de hijos o terceros",2660,459.771246139016,0.172846333134968,52
"5",1,"Enfermedad o discapacidad",467,220.065593368467,0.471232533979586,8
"6",2,"Enfermedad o discapacidad",744,265.20691222837,0.356460903532755,9
"7",1,"Estudiante",0,0,NA,0
"8",2,"Estudiante",0,0,NA,0
"9",1,"Iniciadores",194,156.320184237353,0.805774145553366,2
"10",2,"Iniciadores",240,157.626139964157,0.656775583183987,4
"11",1,"No tiene interés",295,150.139026481216,0.508945852478698,4
"12",2,"No tiene interés",394,220.279574425526,0.559085214277985,4
"13",1,"Otra razón",1502,448.719220785743,0.298747816768138,20
"14",2,"Otra razón",3277,819.947073878982,0.250212717082387,31
"15",1,"Percepción negativa del mercado laboral",130,72.4404928199691,0.557234560153609,4
"16",2,"Percepción negativa del mercado laboral",118,118,1,1
"17",1,"Quehaceres del hogar",0,0,NA,0
"18",2,"Quehaceres del hogar",1207,330.92983802055,0.27417550788778,30
"19",1,"Tiene otra fuente de ingreso",231,118.983192090312,0.515078753637713,3
"20",2,"Tiene otra fuente de ingreso",241,140.174890761506,0.581638550877616,3
