"","sector","b1","categoria_ocupacion","mes","trabaja","se trabaja","cv","Freq"
"1","Administracion Publica",10,4,1,2004.78795126,1006.80993717706,50.22,8
"2","Administracion Publica",10,4,2,2096.40102976,1048.9313913518,50.03,9
"3","Administracion Publica",10,4,3,1188.11098352,696.469362018058,58.62,6
"4","Administracion Publica",10,4,4,2040.51369346,1031.05868119749,50.53,8
"5","Administracion Publica",1,3,3,75.93273433,75.93273433,100,1
"6","Administracion Publica",1,4,1,84.89429668,84.89429668,100,1
"7","Administracion Publica",1,4,2,421.02292071,421.02292071,100,1
"8","Administracion Publica",1,4,3,429.6934893,429.6934893,100,1
"9","Administracion Publica",2,3,1,611.96476012,542.82933550807,88.7,2
"10","Administracion Publica",2,3,2,653.82347323,653.82347323,100,1
"11","Administracion Publica",2,3,4,78.5301653,78.5301653,100,1
"12","Administracion Publica",2,4,1,2834.26096989,1048.02459938939,36.98,10
"13","Administracion Publica",2,4,2,1208.61748039,776.476520980301,64.25,4
"14","Administracion Publica",2,4,3,3183.67802704,2188.09432071245,68.73,9
"15","Administracion Publica",2,4,4,1630.00425177,639.759862944052,39.25,8
"16","Administracion Publica",3,3,2,519.76843457,434.472799567955,83.59,2
"17","Administracion Publica",3,3,3,100.0950766,100.0950766,100,1
"18","Administracion Publica",3,3,4,123.5962767,123.5962767,100,1
"19","Administracion Publica",3,4,1,3759.82096403,1594.70535503495,42.41,11
"20","Administracion Publica",3,4,2,2753.22652183,1039.95498731709,37.77,10
"21","Administracion Publica",3,4,3,1853.20476694,698.005309564302,37.66,7
"22","Administracion Publica",3,4,4,3594.67772048,2361.44346847294,65.69,8
"23","Administracion Publica",4,4,1,1138.92759355,544.485941296732,47.81,5
"24","Administracion Publica",4,4,2,4342.44590639,1296.84134344525,29.86,13
"25","Administracion Publica",4,4,3,2206.8657471,832.672528131985,37.73,8
"26","Administracion Publica",4,4,4,3312.25405592,1111.09071477327,33.54,11
"27","Administracion Publica",5,3,2,793.88990254,793.889902539999,100,1
"28","Administracion Publica",5,4,1,952.10178033,534.876545869365,56.18,3
"29","Administracion Publica",5,4,2,385.30176667,385.30176667,100,1
"30","Administracion Publica",5,4,3,1021.97063936,727.115873400231,71.15,3
"31","Administracion Publica",5,4,4,657.65127838,657.65127838,100,2
"32","Administracion Publica",6,4,1,462.4800812,462.4800812,100,1
"33","Administracion Publica",7,3,1,46.57704319,46.57704319,100,1
"34","Administracion Publica",7,3,4,10.89288452,10.89288452,100,1
"35","Administracion Publica",7,4,1,343.79914786,343.79914786,100,1
"36","Administracion Publica",7,4,3,673.46589168,476.818094826346,70.8,2
"37","Administracion Publica",8,3,1,480.87313491,374.473193173901,77.87,2
"38","Administracion Publica",8,3,2,526.75776959,385.113124904143,73.11,3
"39","Administracion Publica",8,3,3,109.26048374,109.26048374,100,1
"40","Administracion Publica",8,3,4,552.87333755,406.72350939219,73.57,2
"41","Administracion Publica",8,4,1,1224.94248257,692.130682735813,56.5,4
"42","Administracion Publica",8,4,2,1313.85910357,781.14633514668,59.45,3
"43","Administracion Publica",8,4,3,1340.17914344,638.289134159835,47.63,5
"44","Administracion Publica",8,4,4,396.13027337,315.12438228986,79.55,3
"45","Administracion Publica",9,3,1,165.49837996,165.49837996,100,1
"46","Administracion Publica",9,3,2,323.9481624,195.621864516224,60.39,3
"47","Administracion Publica",9,3,3,478.63691384,359.616750218634,75.13,2
"48","Administracion Publica",9,3,4,664.48785829,530.687210747566,79.86,2
"49","Administracion Publica",9,4,1,894.02729941,509.913461953076,57.04,3
"50","Administracion Publica",9,4,2,1057.999566,530.776363848643,50.17,4
"51","Administracion Publica",9,4,3,397.51262819,354.857706308648,89.27,2
"52","Administracion Publica",9,4,4,1683.56645646,760.244942719749,45.16,7
"53","Agropecuario-Silvicola",1,1,1,217.40345479,217.40345479,100,1
