"","sector","mes","mujeres","se","cv","sexo","n.."
"1","Administracion Publica",1,0.22900846477558,0.0699664289080467,30.55,2,10
"2","Administracion Publica",2,0.315621101410537,0.069730797324985,22.09,2,15
"3","Administracion Publica",3,0.30036251150817,0.0765579009835226,25.49,2,14
"4","Administracion Publica",4,0.327782651893603,0.0692834996386023,21.14,2,18
"5","Agropecuario-Silvicola",1,0.240626031740141,0.0399066080361795,16.58,2,41
"6","Agropecuario-Silvicola",2,0.149959117319704,0.0390334939537097,26.03,2,21
"7","Agropecuario-Silvicola",3,0.133566064125176,0.0465080334905958,34.82,2,17
"8","Agropecuario-Silvicola",4,0.137168504735173,0.0288320811235751,21.02,2,24
"9","Comercio",1,0.482128028696316,0.0521304289202853,10.81,2,90
"10","Comercio",2,0.492348079246265,0.0436983395188359,8.88,2,91
"11","Comercio",3,0.484760188336574,0.0450872294023656,9.3,2,93
"12","Comercio",4,0.487612958919575,0.0516151592821275,10.59,2,90
"13","Construccion",1,0.108992903843231,0.0480460818750134,44.08,2,6
"14","Construccion",2,0.0519417416840635,0.0292489023281246,56.31,2,3
"15","Construccion",3,0.0395940393636609,0.0265511059480852,67.06,2,3
"16","Construccion",4,0.0616613981718763,0.0294857985891902,47.82,2,4
"17","Electricidad, Gas y Agua",1,0.146800907979996,0.12011016368559,81.82,2,2
"18","Electricidad, Gas y Agua",2,0.112321578770852,0.113923307152838,101.43,2,1
"19","Electricidad, Gas y Agua",3,0.116163508516943,0.115155931417425,99.13,2,1
"20","Electricidad, Gas y Agua",4,0.304794137445957,0.11766806746976,38.61,2,3
"21","Hoteles y Restoranes",1,0.758705783107754,0.078038038419976,10.29,2,31
"22","Hoteles y Restoranes",2,0.511949987350639,0.107409574217436,20.98,2,22
"23","Hoteles y Restoranes",3,0.648814774792361,0.10801057115891,16.65,2,21
"24","Hoteles y Restoranes",4,0.601263863579647,0.103974066571232,17.29,2,19
"25","Industria Manufacturera",1,0.20870615085985,0.0603677304876842,28.92,2,21
"26","Industria Manufacturera",2,0.295250616770126,0.0532939140094987,18.05,2,31
"27","Industria Manufacturera",3,0.270977807423926,0.0562614464424323,20.76,2,34
"28","Industria Manufacturera",4,0.191455650957595,0.0532026086435715,27.79,2,22
"29","Inmobiliarias",1,0.399478206115721,0.0850553952128676,21.29,2,17
"30","Inmobiliarias",2,0.356939688953732,0.0601099688165029,16.84,2,19
"31","Inmobiliarias",3,0.327513381443637,0.0724343873229804,22.12,2,11
"32","Inmobiliarias",4,0.524031664672944,0.0671356073775577,12.81,2,24
"33","Intermediacion Financiera",1,0.571823812872239,0.189488787067256,33.14,2,8
"34","Intermediacion Financiera",2,0.409091970444498,0.166667431772696,40.74,2,6
"35","Intermediacion Financiera",3,0.317369959040427,0.150341765082749,47.37,2,5
"36","Intermediacion Financiera",4,0.163921334197201,0.112684009891504,68.74,2,4
"37","Servicios Sociales y Personales",1,0.74292115086043,0.0408907249815255,5.5,2,158
"38","Servicios Sociales y Personales",2,0.777287665783432,0.0344672476329654,4.43,2,173
"39","Servicios Sociales y Personales",3,0.786437306967523,0.0293160899743465,3.73,2,184
"40","Servicios Sociales y Personales",4,0.795871162121562,0.0347198823319933,4.36,2,164
"41","Transporte y Comunicaciones",1,0.0942531036372002,0.0411424471979096,43.65,2,5
"42","Transporte y Comunicaciones",2,0.185587533523827,0.0635885711403168,34.26,2,8
"43","Transporte y Comunicaciones",3,0.185038162826805,0.0522282128754465,28.23,2,8
"44","Transporte y Comunicaciones",4,0.150207913274729,0.0593813654987091,39.53,2,5
