"","sector","tramos_edad","mes","trabaja","se trabaja","cv","Freq"
"1","Administracion Publica",1,1,512.89462076,292.535312170929,57.04,4
"2","Administracion Publica",1,2,1094.29668822,827.30644953354,75.6,3
"3","Administracion Publica",1,3,301.20920302,258.522987840843,85.83,2
"4","Administracion Publica",1,4,372.51431593,265.724154217802,71.33,3
"5","Administracion Publica",2,1,3528.70041122,809.854831876367,22.95,13
"6","Administracion Publica",2,2,4804.25890724,1323.52582598835,27.55,16
"7","Administracion Publica",2,3,4428.92021955,1188.82881285481,26.84,15
"8","Administracion Publica",2,4,3883.79209596,1239.26454131624,31.91,15
"9","Administracion Publica",3,1,4020.98238706,1291.27531440299,32.11,14
"10","Administracion Publica",3,2,3809.58183621,1258.13943825807,33.03,14
"11","Administracion Publica",3,3,3050.16598328,1042.61203496202,34.18,11
"12","Administracion Publica",3,4,4157.17173815,1347.10109779463,32.4,14
"13","Administracion Publica",4,1,4169.75604227,1428.2445561723,34.25,15
"14","Administracion Publica",4,2,4037.65985072,1365.23422348555,33.81,15
"15","Administracion Publica",4,3,3113.30981476,1069.10369726938,34.34,13
"16","Administracion Publica",4,4,4019.3963052,1395.82318015518,34.73,16
"17","Administracion Publica",5,1,2772.62242365,1121.13214108184,40.44,7
"18","Administracion Publica",5,2,2651.26475526,1154.09225459233,43.53,7
"19","Administracion Publica",5,3,1845.25867831,887.359311301008,48.09,6
"20","Administracion Publica",5,4,2312.30379696,1058.58257796252,45.78,6
"21","Administracion Publica",6,3,319.74262616,319.74262616,100,1
"22","Agropecuario-Silvicola",1,1,6367.37098979,1887.35925419454,29.64,23
"23","Agropecuario-Silvicola",1,2,2083.70508487,1390.51308086411,66.73,7
"24","Agropecuario-Silvicola",1,3,2974.40808518,1521.76586026182,51.16,12
"25","Agropecuario-Silvicola",1,4,2895.0340864,924.493429561879,31.93,15
"26","Agropecuario-Silvicola",2,1,5755.74557066,2011.63939860911,34.95,23
"27","Agropecuario-Silvicola",2,2,5064.19913905,1661.56169278274,32.81,18
"28","Agropecuario-Silvicola",2,3,4745.8116022,1642.129411405,34.6,16
"29","Agropecuario-Silvicola",2,4,3198.60212866,980.790334871802,30.66,13
"30","Agropecuario-Silvicola",3,1,8623.61295929,2063.9057979498,23.93,30
"31","Agropecuario-Silvicola",3,2,9531.36796625,1951.14614521023,20.47,32
"32","Agropecuario-Silvicola",3,3,7759.25910069,1632.91210505974,21.04,26
"33","Agropecuario-Silvicola",3,4,8467.13706041,2501.72655709716,29.55,26
"34","Agropecuario-Silvicola",4,1,11164.03002572,1906.91457324691,17.08,45
"35","Agropecuario-Silvicola",4,2,10413.17949223,2176.44682184527,20.9,37
"36","Agropecuario-Silvicola",4,3,9313.39029571,1652.50694064397,17.74,34
"37","Agropecuario-Silvicola",4,4,9455.20991428,1865.76092096081,19.73,36
"38","Agropecuario-Silvicola",5,1,5721.14755819,1351.65856753024,23.63,21
"39","Agropecuario-Silvicola",5,2,5790.95175375,1263.96362875847,21.83,19
"40","Agropecuario-Silvicola",5,3,5038.06139114,1181.95795760037,23.46,17
"41","Agropecuario-Silvicola",5,4,6236.89129882,1241.80744347291,19.91,20
"42","Agropecuario-Silvicola",6,1,2902.22717058,831.998522062597,28.67,12
"43","Agropecuario-Silvicola",6,2,3410.70395271,1298.28352094361,38.06,12
"44","Agropecuario-Silvicola",6,3,1964.86063958,811.291159174024,41.29,8
"45","Agropecuario-Silvicola",6,4,4335.3303968,1386.51537374493,31.98,12
"46","Comercio",1,1,7813.1656157,1661.62361170475,21.27,30
"47","Comercio",1,2,7227.72501065,2124.70135205971,29.4,29
"48","Comercio",1,3,8236.62161813,1875.8773770055,22.77,34
"49","Comercio",1,4,8882.90024806,1765.46425736285,19.87,35
"50","Comercio",2,1,7377.70720726,1961.45571079595,26.59,34
"51","Comercio",2,2,5872.84502604,1162.48320558331,19.79,32
"52","Comercio",2,3,6507.29795041,1451.8655720446,22.31,35
"53","Comercio",2,4,5484.79715293,1131.79208340919,20.64,32
"54","Comercio",3,1,4887.47573567,1163.96090857342,23.82,31
"55","Comercio",3,2,5447.06162882,1333.87724086544,24.49,26
"56","Comercio",3,3,5055.71261262,1157.28905379506,22.89,31
"57","Comercio",3,4,4624.61544551,1125.89059056677,24.35,28
"58","Comercio",4,1,6625.81507481,1366.5841495423,20.63,37
"59","Comercio",4,2,8594.89262114,1535.57571425838,17.87,46
"60","Comercio",4,3,9984.36099199,1992.64288347142,19.96,49
"61","Comercio",4,4,8931.29107087,1937.76715290099,21.7,44
"62","Comercio",5,1,5352.59435666,1192.28191913636,22.27,27
"63","Comercio",5,2,5394.30014131,1173.3831288844,21.75,27
"64","Comercio",5,3,4512.69663922,1156.16982721499,25.62,19
"65","Comercio",5,4,5222.75779442,1273.78943321543,24.39,25
"66","Comercio",6,1,2465.08881411,868.423592029316,35.23,11
"67","Comercio",6,2,2860.16469177,846.656746497964,29.6,15
"68","Comercio",6,3,3827.95849443,1130.70807952955,29.54,19
"69","Comercio",6,4,3418.04668682,973.801568593954,28.49,18
"70","Construccion",1,1,2955.7473447,1008.12189806845,34.11,11
"71","Construccion",1,2,1832.80806672,773.597905481213,42.21,8
"72","Construccion",1,3,1026.0691823,528.65837538275,51.52,5
"73","Construccion",1,4,1746.83659337,704.996886475609,40.36,9
"74","Construccion",2,1,3134.71427233,1234.75745723845,39.39,12
"75","Construccion",2,2,2608.30930863,874.948319762438,33.54,9
"76","Construccion",2,3,4834.91622853,1405.36366471902,29.07,20
"77","Construccion",2,4,3590.52895925,1000.61934941661,27.87,17
"78","Construccion",3,1,3139.50252302,1077.19570311645,34.31,17
"79","Construccion",3,2,1427.7460428,820.777093215413,57.49,8
"80","Construccion",3,3,2034.92605235,916.373207846074,45.03,12
"81","Construccion",3,4,3598.3029977,1039.69870821887,28.89,17
"82","Construccion",4,1,3215.01116039,947.337418920507,29.47,15
"83","Construccion",4,2,1745.98673799,742.164935708786,42.51,10
"84","Construccion",4,3,3353.1192861,1006.73839057278,30.02,15
"85","Construccion",4,4,3313.47451586,1054.20159077074,31.82,18
"86","Construccion",5,1,1941.86355149,655.850444513167,33.77,13
"87","Construccion",5,2,2724.92876677,811.18351501511,29.77,15
"88","Construccion",5,3,2045.32583829,780.985811924302,38.18,9
"89","Construccion",5,4,1728.32949865,627.915373710269,36.33,12
"90","Construccion",6,1,977.99947735,662.457464139849,67.74,3
"91","Construccion",6,2,879.32468098,652.641719182738,74.22,2
"92","Construccion",6,3,366.6908007,291.274641567145,79.43,2
"93","Construccion",6,4,1068.18802162,716.225461713775,67.05,3
"94","Electricidad, Gas y Agua",1,1,101.0650377,74.8989013756285,74.11,2
"95","Electricidad, Gas y Agua",1,2,448.99817086,416.112820685447,92.68,2
"96","Electricidad, Gas y Agua",1,3,367.01126736,333.292629168895,90.81,2
"97","Electricidad, Gas y Agua",2,1,810.85524208,579.010430152104,71.41,2
"98","Electricidad, Gas y Agua",2,2,751.79388766,535.884217474179,71.28,2
"99","Electricidad, Gas y Agua",2,3,747.88785636,532.71675916102,71.23,2
"100","Electricidad, Gas y Agua",2,4,1171.12217765,891.16078912747,76.09,3
"101","Electricidad, Gas y Agua",3,2,95.00440172,95.0044017199999,100,1
"102","Electricidad, Gas y Agua",3,3,127.93994403,127.93994403,100,1
"103","Electricidad, Gas y Agua",3,4,363.38261319,363.38261319,100,1
"104","Electricidad, Gas y Agua",4,1,623.72468357,444.564192759317,71.28,2
"105","Electricidad, Gas y Agua",4,2,687.34957248,496.299222074269,72.2,2
"106","Electricidad, Gas y Agua",4,3,598.83165178,425.844401968425,71.11,2
"107","Electricidad, Gas y Agua",4,4,619.62393841,442.936055405704,71.48,2
"108","Electricidad, Gas y Agua",5,1,539.27154475,429.460718728393,79.64,2
"109","Electricidad, Gas y Agua",5,2,444.28563316,361.243001054324,81.31,2
"110","Electricidad, Gas y Agua",5,3,460.67712141,318.680590982107,69.18,3
"111","Electricidad, Gas y Agua",5,4,789.48743551,445.328256859983,56.41,4
