"","sector","educ","mes","trabaja","se trabaja","Freq","cv"
"1","Administracion Publica",0,1,1326.34265126,680.44487330882,4,0.513023442820308
"2","Administracion Publica",0,2,678.0144758,457.599454728996,2,0.674911039604378
"3","Administracion Publica",0,3,677.19257943,456.98686789223,2,0.674825569230071
"4","Administracion Publica",0,4,718.50510019,484.642637629127,2,0.674515236566824
"5","Administracion Publica",1,1,302.21282839,182.253941578113,3,0.603064875005631
"6","Administracion Publica",1,2,542.70068825,334.849793806632,4,0.617006392393555
"7","Administracion Publica",1,3,545.7802441,332.009225888489,4,0.608320344090096
"8","Administracion Publica",1,4,633.10886909,381.935003698507,4,0.603269077950972
"9","Administracion Publica",2,1,5916.96453056,1217.39009440206,22,0.205745714397049
"10","Administracion Publica",2,2,7808.25277559,1583.63961815388,27,0.202816131043378
"11","Administracion Publica",2,3,5698.47388142,1446.32434726441,21,0.253809068420964
"12","Administracion Publica",2,4,6487.16523677,1494.10871062117,25,0.230317658960248
"13","Administracion Publica",3,1,1220.70666048,652.993461342059,5,0.534930694230252
"14","Administracion Publica",3,2,1549.68926875,751.739368095773,7,0.485090387637604
"15","Administracion Publica",3,3,1083.3023778,581.812914099192,6,0.537073421070812
"16","Administracion Publica",3,4,1359.70542134,641.133746813481,7,0.471524005678847
"17","Administracion Publica",4,1,6238.72921427,2405.4060004157,19,0.385560250782124
"18","Administracion Publica",4,2,5818.40482926,2311.31293866069,15,0.397241685046973
"19","Administracion Publica",4,3,5053.85744233,2414.12737685072,15,0.477680149153103
"20","Administracion Publica",4,4,5546.69362481,2558.8271398864,16,0.461324766242891
"21","Agropecuario-Silvicola",0,1,14384.80697392,3447.29338173918,49,0.239648219679917
"22","Agropecuario-Silvicola",0,2,13497.68244864,2793.41895377853,43,0.206955450641824
"23","Agropecuario-Silvicola",0,3,10769.40176008,1708.80597625609,37,0.15867232129739
"24","Agropecuario-Silvicola",0,4,13150.878024,2927.13759860898,44,0.222581153385122
"25","Agropecuario-Silvicola",1,1,15357.35303297,3402.37634676137,57,0.221547055632371
"26","Agropecuario-Silvicola",1,2,12365.12532139,3293.00257254889,46,0.266313724039047
"27","Agropecuario-Silvicola",1,3,13278.82272582,3512.23422219359,47,0.264498916411033
"28","Agropecuario-Silvicola",1,4,11630.96304638,3004.92301829812,43,0.258355478073105
"29","Agropecuario-Silvicola",2,1,7854.59960764,1512.03670354365,38,0.192503345692239
"30","Agropecuario-Silvicola",2,2,7161.7632843,1327.36460066005,28,0.18534047384251
"31","Agropecuario-Silvicola",2,3,5361.26224399,1286.13774325388,23,0.239894577941165
