"","sector","categoria","trabaja","se trabaja","mes"
"1","Agropecuario-Silvicola","empleador",1794.7112792,840.386400018308,1
"2","Industria Manufacturera","empleador",69.91483444,69.91483444,1
"3","Construccion","empleador",1063.70203629,675.437828314933,1
"4","Comercio","empleador",699.01326356,477.029356627484,1
"5","Hoteles y Restoranes","empleador",364.26298963,293.59713999747,1
"6","Transporte y Comunicaciones","empleador",1021.92073133,539.690700773503,1
"7","Servicios Sociales y Personales","empleador",510.91436071,382.542545172856,1
"8","Agropecuario-Silvicola","cuenta propia",6379.7843167,2083.96975931464,1
"9","Pesca","cuenta propia",198.94816377,198.94816377,1
"10","Industria Manufacturera","cuenta propia",5739.78349142,1321.58443144075,1
"11","Construccion","cuenta propia",3276.26721581,1059.19586009501,1
"12","Comercio","cuenta propia",9399.00510492,1937.53658978764,1
"13","Hoteles y Restoranes","cuenta propia",528.66597005,373.971412829064,1
"14","Transporte y Comunicaciones","cuenta propia",1253.98236196,612.655671463955,1
"15","Servicios Sociales y Personales","cuenta propia",3415.30635125,1147.40014966301,1
"16","Inmobiliarias","cuenta propia",1010.99602735,562.603739338209,1
"17","Agropecuario-Silvicola","asalariado sin contrato",16811.37343499,7012.26996371196,1
"18","Mineria","asalariado sin contrato",738.0990299,522.146467221684,1
"19","Industria Manufacturera","asalariado sin contrato",1011.75369833,476.872856352082,1
"20","Construccion","asalariado sin contrato",3370.90042319,1723.0731006711,1
"21","Comercio","asalariado sin contrato",3927.57248411,1231.77326720648,1
"22","Hoteles y Restoranes","asalariado sin contrato",1280.05025139,539.011627602956,1
"23","Transporte y Comunicaciones","asalariado sin contrato",2931.28189417,861.657854880704,1
"24","Intermediacion Financiera","asalariado sin contrato",25.01034126,25.01034126,1
"25","Servicios Sociales y Personales","asalariado sin contrato",8990.6587903,2800.50172639543,1
"26","Inmobiliarias","asalariado sin contrato",2353.46201146,1380.4724713604,1
"27","Agropecuario-Silvicola","asalariado con contrato definido",8090.42457811,3399.30901775777,1
"28","Industria Manufacturera","asalariado con contrato definido",4858.23174707,3302.23517945562,1
"29","Construccion","asalariado con contrato definido",1389.42183234,710.078600214405,1
"30","Comercio","asalariado con contrato definido",4800.02356811,1080.77351261307,1
"31","Transporte y Comunicaciones","asalariado con contrato definido",190.8828649,152.051904669363,1
"32","Servicios Sociales y Personales","asalariado con contrato definido",4495.95375532,990.958257885105,1
"33","Administracion Publica","asalariado con contrato definido",2751.00927772,936.616679514868,1
"34","Inmobiliarias","asalariado con contrato definido",2003.62743669,702.237444178672,1
"35","Agropecuario-Silvicola","asalariado con contrato indefinido",6981.58156705,1732.52820497408,1
"36","Industria Manufacturera","asalariado con contrato indefinido",6332.14683093,1768.47715632937,1
"37","Electricidad, Gas y Agua","asalariado con contrato indefinido",734.46015592,479.372438512941,1
"38","Construccion","asalariado con contrato indefinido",1551.03540401,1031.15026917998,1
"39","Comercio","asalariado con contrato indefinido",13961.91636076,2295.88656763112,1
"40","Hoteles y Restoranes","asalariado con contrato indefinido",1858.39544652,722.913367798766,1
"41","Transporte y Comunicaciones","asalariado con contrato indefinido",4527.11733281,1293.40094601733,1
"42","Intermediacion Financiera","asalariado con contrato indefinido",1100.23887237,630.350356776084,1
"43","Servicios Sociales y Personales","asalariado con contrato indefinido",16735.53456354,2716.10020344212,1
"44","Administracion Publica","asalariado con contrato indefinido",4230.95341487,1087.00401891115,1
"45","Inmobiliarias","asalariado con contrato indefinido",1371.37854205,666.286183276168,1
"46","Agropecuario-Silvicola","no remunerado",288.9469878,288.9469878,1
"47","Industria Manufacturera","no remunerado",58.55595771,58.55595771,1
"48","Comercio","no remunerado",1287.5850663,921.743380972246,1
"49","Agropecuario-Silvicola","empleador",2338.41842149,988.726872388195,2
