"","sector","mes","conmutante.x","se conmutante","cv","conmutante.y","Freq"
"1","Administracion Publica",1,0.145234673188126,0.0914776906969198,62.99,"1",0
"2","Administracion Publica",1,0.145234673188126,0.0914776906969198,62.99,"0",29
"3","Administracion Publica",2,0.146777017705831,0.0923562684376316,62.92,"1",1
"4","Administracion Publica",2,0.146777017705831,0.0923562684376316,62.92,"0",29
"5","Administracion Publica",3,0.0862229851485065,0.0805948499181793,93.47,"0",33
"6","Administracion Publica",3,0.0862229851485065,0.0805948499181793,93.47,"1",2
"7","Administracion Publica",4,0.0715393444002328,0.0630200967040559,88.09,"1",2
"8","Administracion Publica",4,0.0715393444002328,0.0630200967040559,88.09,"0",40
"9","Agropecuario-Silvicola",1,0.0405787166216258,0.0239388589239229,58.99,"0",116
"10","Agropecuario-Silvicola",1,0.0405787166216258,0.0239388589239229,58.99,"1",7
"11","Agropecuario-Silvicola",2,0.0445362239529133,0.0201330520915296,45.21,"0",99
"12","Agropecuario-Silvicola",2,0.0445362239529133,0.0201330520915296,45.21,"1",3
"13","Agropecuario-Silvicola",3,0.0481371354358166,0.0191383139135431,39.76,"0",90
"14","Agropecuario-Silvicola",3,0.0481371354358166,0.0191383139135431,39.76,"1",2
"15","Agropecuario-Silvicola",4,0.0440268286051909,0.0164051249014337,37.26,"0",107
"16","Agropecuario-Silvicola",4,0.0440268286051909,0.0164051249014337,37.26,"1",1
"17","Comercio",1,0.00867106099595031,0.00711016979629612,82,"0",136
"18","Comercio",1,0.00867106099595031,0.00711016979629612,82,"1",3
"19","Comercio",2,0.00986697025089354,0.00848250789297613,85.97,"0",120
"20","Comercio",2,0.00986697025089354,0.00848250789297613,85.97,"1",3
"21","Comercio",3,0.00909483564042723,0.00780685330275737,85.84,"0",133
"22","Comercio",3,0.00909483564042723,0.00780685330275737,85.84,"1",4
"23","Comercio",4,0.00473049829093242,0.00473384033089048,100.07,"1",5
"24","Comercio",4,0.00473049829093242,0.00473384033089048,100.07,"0",167
"25","Construccion",1,0.045805137651613,0.0310170588755092,67.72,"1",12
"26","Construccion",1,0.045805137651613,0.0310170588755092,67.72,"0",39
"27","Construccion",2,0.0691660187597251,0.0382466839384687,55.3,"1",9
"28","Construccion",2,0.0691660187597251,0.0382466839384687,55.3,"0",41
"29","Construccion",3,0.0488300551381098,0.0289317250011441,59.25,"1",8
"30","Construccion",3,0.0488300551381098,0.0289317250011441,59.25,"0",47
"31","Construccion",4,0.0582591641741222,0.0332287499184294,57.04,"1",13
