"","categoria","trabaja","se trabaja","mes"
"1","empleador",5524.43949516,1402.43190565708,1
"2","cuenta propia",31202.73900323,3497.35654849215,1
"3","asalariado sin contrato",41440.1623591,9710.98580305431,1
"4","asalariado con contrato definido",28579.57506026,4643.26708331622,1
"5","asalariado con contrato indefinido",59384.75849083,4761.62029410575,1
"6","no remunerado",1635.08801181,935.597071645515,1
"7","empleador",6440.57556672,1632.74857169236,2
"8","cuenta propia",27546.22142082,3273.83056577957,2
"9","asalariado sin contrato",40356.58918918,8761.72859641903,2
"10","asalariado con contrato definido",25178.31698079,4365.8869051089,2
"11","asalariado con contrato indefinido",56668.66031869,4300.17623367459,2
"12","no remunerado",1392.4859164,579.581267209322,2
"13","empleador",6428.39602948,1568.62765771728,3
"14","cuenta propia",25385.62755586,3207.68211643469,3
"15","asalariado sin contrato",40316.14710968,8462.79555579741,3
"16","asalariado con contrato definido",25643.69405559,4129.57787993328,3
"17","asalariado con contrato indefinido",54995.0208283,4590.23338106695,3
"18","no remunerado",2785.01183712,960.628580812245,3
"19","empleador",6546.29255875,1647.91292532798,4
"20","cuenta propia",33093.65049394,4535.20321064982,4
"21","asalariado sin contrato",32833.84503738,5712.20866547046,4
"22","asalariado con contrato definido",23594.35507526,3416.67472380823,4
"23","asalariado con contrato indefinido",63520.20537783,4611.53211278268,4
"24","no remunerado",3566.95702996,1275.44699895955,4
"25","empleador",5505.531703,1386.85771336187,5
"26","cuenta propia",36183.32347077,4291.45743676008,5
"27","asalariado sin contrato",31870.78477235,4468.04945947632,5
"28","asalariado con contrato definido",23181.70562797,3418.48157032642,5
"29","asalariado con contrato indefinido",66113.43029935,5198.13939009418,5
"30","no remunerado",3961.3959981,1265.47290181348,5
"31","empleador",7196.73986157,2008.7896878293,6
"32","cuenta propia",39667.28109728,3966.27795770822,6
"33","asalariado sin contrato",32376.76036986,4506.27439556157,6
"34","asalariado con contrato definido",22622.84806844,3251.37010818883,6
"35","asalariado con contrato indefinido",67058.50980415,4971.43724248388,6
"36","no remunerado",4383.00891183,1392.07342337686,6
"37","empleador",7615.25115304,1897.83517122732,7
"38","cuenta propia",41685.41536175,3903.20302030723,7
"39","asalariado sin contrato",31327.54296005,4099.44819294358,7
"40","asalariado con contrato definido",22615.43925292,2728.19179152741,7
"41","asalariado con contrato indefinido",64584.43133316,5462.31236286534,7
"42","no remunerado",3949.38032467,1182.84906656162,7
