"","sector","I(b10 == 1 | b10 == 2)TRUE","se.I(b10 == 1 | b10 == 2)TRUE","cv","sector","I(cae_general == ""Ocupado"")FALSE","I(cae_general == ""Ocupado"")TRUE","se.I(cae_general == ""Ocupado"")FALSE","se.I(cae_general == ""Ocupado"")TRUE"
"1","Agropecuario-Silvicola",21878.14792297,8977.10033799064,0.410322682230589,"Agropecuario-Silvicola",0,40346.82216385,0,10496.6357421194
"2","Agropecuario-Silvicola",18199.83646844,5303.44834300539,0.291400878914599,"Agropecuario-Silvicola",0,34509.65435114,0,6570.93938008316
"3","Agropecuario-Silvicola",19217.27482285,5419.84247140445,0.282029711359494,"Agropecuario-Silvicola",0,32597.65784053,0,7315.79158842854
"4","Agropecuario-Silvicola",13145.49790766,4665.60459430492,0.354920340566654,"Agropecuario-Silvicola",0,32477.42865793,0,6337.45324390239
"5","Agropecuario-Silvicola",10240.95649056,4391.48444101934,0.428815847920784,"Agropecuario-Silvicola",0,32431.5187384,0,5795.76026949561
"6","Agropecuario-Silvicola",9183.02011094,4358.10688506105,0.474583179870108,"Agropecuario-Silvicola",0,35572.00344156,0,5751.40358579109
"7","Agropecuario-Silvicola",11148.75291277,4294.84151357137,0.385230666351209,"Agropecuario-Silvicola",0,36307.85007712,0,5587.72221629459
"8","Agropecuario-Silvicola",9763.05599095,2375.45590254864,0.24331069131946,"Agropecuario-Silvicola",0,36226.99388986,0,4585.69082230374
"9","Agropecuario-Silvicola",10649.70255412,2586.78901568999,0.242897771326886,"Agropecuario-Silvicola",0,37948.07213554,0,4120.50136840038
"10","Agropecuario-Silvicola",17224.07389453,4031.03517912884,0.234034944567267,"Agropecuario-Silvicola",0,45721.46515181,0,5814.91448818266
"11","Agropecuario-Silvicola",22423.28453588,7704.06552244839,0.343574355046913,"Agropecuario-Silvicola",0,48634.48960586,0,7747.22215812201
"12","Agropecuario-Silvicola",27555.24750384,7900.01125357814,0.286697161855549,"Agropecuario-Silvicola",0,53459.12442289,0,7992.61317658013
"13","Agropecuario-Silvicola",25206.8159439,7652.98146670285,0.303607622784855,"Agropecuario-Silvicola",0,50058.0874166,0,6990.79436027537
"14","Agropecuario-Silvicola",23555.85242865,4902.12495417685,0.20810645545625,"Agropecuario-Silvicola",0,47030.44973243,0,5881.8196808798
"15","Agropecuario-Silvicola",19098.77278686,4441.13731631107,0.232535219193067,"Agropecuario-Silvicola",0,41137.61654323,0,5499.2935107865
"16","Agropecuario-Silvicola",13953.29018238,4343.56524519335,0.311293264055981,"Agropecuario-Silvicola",0,36442.29299086,0,5420.93802166271
"17","Agropecuario-Silvicola",10922.70063922,3321.58926503094,0.304099633849174,"Agropecuario-Silvicola",0,33560.21780692,0,4931.84552074242
"18","Agropecuario-Silvicola",10266.58262408,3320.19406459202,0.323398173098475,"Agropecuario-Silvicola",0,32052.70758395,0,4911.45651671179
"19","Agropecuario-Silvicola",11222.30681284,3036.80463008092,0.270604313420335,"Agropecuario-Silvicola",0,34414.0554467,0,5016.01791629296
"20","Agropecuario-Silvicola",10138.08927662,2010.02338553407,0.198264518164137,"Agropecuario-Silvicola",0,33914.41552085,0,4029.93303304732
"21","Agropecuario-Silvicola",11785.98006733,1973.10422897304,0.167411128960107,"Agropecuario-Silvicola",0,37811.43079558,0,3815.81128023887
"22","Agropecuario-Silvicola",14383.42146037,1994.92465999025,0.138696113820121,"Agropecuario-Silvicola",0,36548.98396706,0,4072.54430070204
