"","oficio4","ocupados","se_ocupados","cv","n","quality","region"
"1","5122",3912,616.515090125117,15.7595881933823,62,1,"Ñuble"
"2","6112",12790,1604.93166659173,12.548332029646,215,1,"Ñuble"
"3","8322",3110,473.720689199122,15.2321765015795,51,1,"Ñuble"
"4","9132",3566,529.339772174352,14.8440766173402,59,1,"Ñuble"
"5","9211",11717,1712.64472173608,14.6167510603062,201,1,"Ñuble"
"6","4222",3962,624.026417467217,15.7502881743366,74,1,"Ñuble+Nueva Biobío"
"7","7412",7660,901.317491584317,11.7665468875237,121,1,"Ñuble+Nueva Biobío"
"8","8331",4042,533.393202302118,13.1962692306313,85,1,"Ñuble+Nueva Biobío"
"9","9152",18128,1403.16926898235,7.74034239288589,308,1,"Ñuble+Nueva Biobío"
"10","3152",4853,666.043921079289,13.7243750479969,79,1,"Maule+Ñuble+Nueva Biobío"
"11","3415",4953,885.101715606572,17.8700124289637,57,1,"Maule+Ñuble+Nueva Biobío"
"12","3212",3360,486.229078384527,14.471103523349,71,1,"Nacional"
"13","3213",3414,580.465417885819,17.002501988454,65,1,"Nacional"
"14","3421",5880,930.899797657425,15.831629211861,63,1,"Nacional"
"15","5121",6021,1249.19116774763,20.7472374646674,73,1,"Nacional"
"16","7414",2599,500.511123368287,19.25783468135,38,0,"Nacional"
"17","7415",2693,750.042181353505,27.8515477665616,43,0,"Nacional"
"18","8152",159,95.8384056628657,60.275726831991,3,0,"Nacional"
"19","8275",4514,708.539476965632,15.6964881915293,92,1,"Nacional"
"20","8278",3037,534.020050007042,17.58380144903,49,0,"Nacional"
