"","sector","mes","edad","se","cv","n.."
"1","Administracion Publica",1,44.0881687021437,1.50988797044431,3.42,53
"2","Administracion Publica",2,41.9626766498745,2.14118150410943,5.1,55
"3","Administracion Publica",3,42.8885481153724,1.98065891787962,4.62,48
"4","Administracion Publica",4,43.4809126559106,1.75137712426841,4.03,54
"5","Agropecuario-Silvicola",1,43.9122489757611,1.58574055484459,3.61,154
"6","Agropecuario-Silvicola",2,47.110071023481,1.88072606203959,3.99,125
"7","Agropecuario-Silvicola",3,45.5209354046915,2.17282806848977,4.77,113
"8","Agropecuario-Silvicola",4,48.6807491940589,1.5927914789079,3.27,122
"9","Comercio",1,40.373632483134,1.38395179491065,3.43,170
"10","Comercio",2,42.6045938304126,1.71159870141323,4.02,175
"11","Comercio",3,42.6393426060083,1.63110839790758,3.83,187
"12","Comercio",4,42.0773465864482,1.3485038949927,3.2,182
"13","Construccion",1,41.8714376418823,2.19769037885881,5.25,71
"14","Construccion",2,44.6668927298377,2.86948405251611,6.42,52
"15","Construccion",3,41.9455474732487,2.08697309883038,4.98,63
"16","Construccion",4,42.8328629509997,2.53883147362698,5.93,76
"17","Electricidad, Gas y Agua",1,45.4026857080751,5.96765937191577,13.14,9
"18","Electricidad, Gas y Agua",2,39.9265976735599,4.11911769199726,10.32,9
"19","Electricidad, Gas y Agua",3,39.7488495554851,3.47807327813682,8.75,10
"20","Electricidad, Gas y Agua",4,42.6416323341749,5.30410057211375,12.44,10
"21","Hoteles y Restoranes",1,39.1047501673103,3.17000847341164,8.11,42
"22","Hoteles y Restoranes",2,39.615326732782,3.0018589658299,7.58,43
"23","Hoteles y Restoranes",3,40.9203537702936,3.45710162527629,8.45,33
"24","Hoteles y Restoranes",4,41.2996635536043,3.10576759822863,7.52,32
"25","Industria Manufacturera",1,46.750425070034,2.11407928898149,4.52,77
"26","Industria Manufacturera",2,43.3383539592865,1.86415576151659,4.3,97
"27","Industria Manufacturera",3,46.7420162497228,1.78635757917656,3.82,103
"28","Industria Manufacturera",4,45.7884296842577,2.21940114690566,4.85,90
"29","Inmobiliarias",1,38.4505226529968,2.99633392747431,7.79,35
"30","Inmobiliarias",2,41.3393931667011,3.29673000425867,7.97,45
"31","Inmobiliarias",3,46.6814532421819,2.88752518370422,6.19,36
"32","Inmobiliarias",4,39.2117668644401,2.4672798066263,6.29,44
"33","Intermediacion Financiera",1,44.1012484971445,5.12845947131513,11.63,13
"34","Intermediacion Financiera",2,49.8068727824293,3.56521942471625,7.16,10
"35","Intermediacion Financiera",3,50.0353155893578,4.08456800073803,8.16,9
"36","Intermediacion Financiera",4,53.2275699621622,3.79729393154494,7.13,8
"37","Mineria",1,43.0172784620057,7.17333283060208,16.68,3
"38","Mineria",2,44.5112292178752,3.12517324222104,7.02,3
"39","Mineria",3,53,0,0,1
"40","Mineria",4,53.9129376116121,0.710464699583715,1.32,2
"41","Servicios Sociales y Personales",1,44.5185774242219,0.935635390033201,2.1,212
"42","Servicios Sociales y Personales",2,43.2922193475855,0.924452900223752,2.14,224
"43","Servicios Sociales y Personales",3,44.1224944966078,0.902158880916188,2.04,239
"44","Servicios Sociales y Personales",4,42.8342687568354,0.857547450600111,2,208
"45","Transporte y Comunicaciones",1,44.1175093681277,2.50654945525362,5.68,46
"46","Transporte y Comunicaciones",2,47.9605938791153,2.31102977431821,4.82,45
"47","Transporte y Comunicaciones",3,44.5000911067615,2.17371802764349,4.88,42
"48","Transporte y Comunicaciones",4,45.4620458337701,2.70501492478959,5.95,34
