"","sector","tramos_edad","mes","sexo","trabaja","se trabaja","cv","Freq"
"1","Administracion Publica",1,1,1,267.30221455,160.727182780276,60.13,3
"2","Administracion Publica",1,1,2,245.59240621,245.59240621,100,1
"3","Administracion Publica",1,2,1,46.36201687,46.3620168700001,100,1
"4","Administracion Publica",1,2,2,1047.93467135,827.475524155929,78.96,2
"5","Administracion Publica",1,3,1,45.59651692,45.59651692,100,1
"6","Administracion Publica",1,3,2,255.6126861,255.6126861,100,1
"7","Administracion Publica",1,4,1,118.93068937,84.3899331270945,70.96,2
"8","Administracion Publica",1,4,2,253.58362656,253.58362656,100,1
"9","Administracion Publica",2,1,1,3152.1424434,755.169673889806,23.96,11
"10","Administracion Publica",2,1,2,376.55796782,297.083240006264,78.89,2
"11","Administracion Publica",2,2,1,3777.27154903,1044.63483790315,27.66,12
"12","Administracion Publica",2,2,2,1026.98735821,548.304838414997,53.39,4
"13","Administracion Publica",2,3,1,3752.60545563,1005.39282290289,26.79,12
"14","Administracion Publica",2,3,2,676.31476392,399.461214755224,59.06,3
"15","Administracion Publica",2,4,1,3137.65331386,1037.88117118001,33.08,11
"16","Administracion Publica",2,4,2,746.1387821,410.463366334979,55.01,4
"17","Administracion Publica",3,1,1,3365.1441794,1297.08066346132,38.54,12
"18","Administracion Publica",3,1,2,655.83820766,443.397862447845,67.61,2
"19","Administracion Publica",3,2,1,3179.6481012,1267.00521032427,39.85,12
"20","Administracion Publica",3,2,2,629.93373501,427.848287765682,67.92,2
"21","Administracion Publica",3,3,1,2451.62853665,1020.70758518653,41.63,9
"22","Administracion Publica",3,3,2,598.53744663,404.658071657732,67.61,2
"23","Administracion Publica",3,4,1,3065.21311517,1330.20339325961,43.4,10
"24","Administracion Publica",3,4,2,1091.95862298,539.0933818777,49.37,4
"25","Administracion Publica",4,1,1,2992.28780906,1013.55568021171,33.87,12
"26","Administracion Publica",4,1,2,1177.46823321,788.362974885382,66.95,3
"27","Administracion Publica",4,2,1,2506.62502487,928.103155461729,37.03,10
"28","Administracion Publica",4,2,2,1531.03482585,808.221867184851,52.79,5
"29","Administracion Publica",4,3,1,1832.19563762,781.548426159549,42.66,8
"30","Administracion Publica",4,3,2,1281.11417714,797.849115202658,62.28,5
"31","Administracion Publica",4,4,1,2356.16514008,898.894193684733,38.15,9
"32","Administracion Publica",4,4,2,1663.23116512,873.44862254899,52.52,7
"33","Administracion Publica",5,1,1,1791.81732731,872.091534371002,48.67,5
"34","Administracion Publica",5,1,2,980.80509634,720.061692406166,73.42,2
"35","Administracion Publica",5,2,1,1711.89656546,929.2993935288,54.28,5
"36","Administracion Publica",5,2,2,939.3681898,684.347550077454,72.85,2
"37","Administracion Publica",5,3,1,734.52189943,488.667011071955,66.53,3
"38","Administracion Publica",5,3,2,1110.73677888,757.007669786384,68.15,3
"39","Administracion Publica",5,4,1,1234.00236357,693.917251257321,56.23,4
"40","Administracion Publica",5,4,2,1078.30143339,799.422243106394,74.14,2
"41","Administracion Publica",6,3,1,319.74262616,319.74262616,100,1
"42","Agropecuario-Silvicola",1,1,1,2870.86744641,955.862389128307,33.3,11
"43","Agropecuario-Silvicola",1,1,2,3496.50354338,1368.33302747754,39.13,12
"44","Agropecuario-Silvicola",1,2,1,1202.08884253,759.677302032721,63.2,4
"45","Agropecuario-Silvicola",1,2,2,881.61624234,881.61624234,100,3
"46","Agropecuario-Silvicola",1,3,1,1739.05688522,697.943001441751,40.13,7
"47","Agropecuario-Silvicola",1,3,2,1235.35119996,1155.98501149059,93.58,5
"48","Agropecuario-Silvicola",1,4,1,1871.8144141,718.604185680171,38.39,8
"49","Agropecuario-Silvicola",1,4,2,1023.2196723,457.638104007005,44.73,7
"50","Agropecuario-Silvicola",2,1,1,4064.22654703,1417.78795695196,34.88,16
"51","Agropecuario-Silvicola",2,1,2,1691.51902363,831.518381351247,49.16,7
"52","Agropecuario-Silvicola",2,2,1,4203.96683837,1353.08335834731,32.19,15
"53","Agropecuario-Silvicola",2,2,2,860.23230068,647.837159638862,75.31,3
"54","Agropecuario-Silvicola",2,3,1,4300.71142594,1467.83287952137,34.13,14
"55","Agropecuario-Silvicola",2,3,2,445.10017626,314.088142923543,70.57,2
"56","Agropecuario-Silvicola",2,4,1,2899.13592458,908.721745021571,31.34,11
"57","Agropecuario-Silvicola",2,4,2,299.46620408,201.088986450669,67.15,2
"58","Agropecuario-Silvicola",3,1,1,7339.03328608,1938.97420122035,26.42,24
"59","Agropecuario-Silvicola",3,1,2,1284.57967321,641.73420946865,49.96,6
"60","Agropecuario-Silvicola",3,2,1,7838.78254949,1785.83891512893,22.78,27
"61","Agropecuario-Silvicola",3,2,2,1692.58541676,658.138131210614,38.88,5
"62","Agropecuario-Silvicola",3,3,1,6446.54882988,1440.53607507492,22.35,22
"63","Agropecuario-Silvicola",3,3,2,1312.71027081,690.024049713513,52.56,4
"64","Agropecuario-Silvicola",3,4,1,6732.98531184,2180.609952137,32.39,20
