"","rama1","cat_ocup","yoprCor","se","cv"
"1","1","Dependiente contrato",267277.703979931,30284.3943354905,0.113306848586834
"2","2","Dependiente contrato",779255.319148936,321403.079440977,0.412449002968626
"3","3","Dependiente contrato",562713.037144938,61816.8696352388,0.109855051428845
"4","4","Dependiente contrato",387769.851240527,46486.8420583795,0.119882558970642
"5","5","Dependiente contrato",402468.847039474,61668.4094372418,0.153225299028408
"6","6","Dependiente contrato",398831.386482368,41616.5011275183,0.104346103486412
"7","7","Dependiente contrato",295916.236562845,21321.2268420153,0.0720515612447215
"8","8","Dependiente contrato",254902.077733382,21468.2693512234,0.0842216334292825
"9","9","Dependiente contrato",337611.091511461,20012.7545506413,0.0592775387237593
"10","10","Dependiente contrato",456508.991549296,49458.3829140663,0.108340435412268
"11","11","Dependiente contrato",412099.680654119,63652.5347230197,0.154459073159157
"12","12","Dependiente contrato",576589.369198312,50145.2086207193,0.0869686666100712
"13","13","Dependiente contrato",516909.614540182,41285.3196441347,0.0798695139011104
"14","14","Dependiente contrato",666452.854282536,119407.339881297,0.179168472479338
"15","15","Dependiente contrato",351411.998243303,53551.6239106164,0.152389856289254
"16","16","Dependiente contrato",196497.855249015,8711.51625863564,0.0443338999685052
"17","17","Dependiente contrato",NA,NA,NA
"18","99","Dependiente contrato",264857.142857143,24995.2731891302,0.0943726603688842
"19","1","Dependiente sin Contrato",164768.102482561,12189.1699040043,0.0739777282152922
"20","2","Dependiente sin Contrato",NA,NA,NA
"21","3","Dependiente sin Contrato",163636.363636364,16362.8015481185,0.0999948983496128
"22","4","Dependiente sin Contrato",200725.259515571,13125.7870690526,0.0653918052004532
"23","5","Dependiente sin Contrato",NA,NA,NA
"24","6","Dependiente sin Contrato",251002.581807265,52819.1584068013,0.210432729522117
"25","7","Dependiente sin Contrato",147475.660515186,12050.4874949122,0.0817117038351644
"26","8","Dependiente sin Contrato",209482,27757.4339441724,0.132505102797245
"27","9","Dependiente sin Contrato",318964.682945154,116959.234639206,0.366683965005986
"28","10","Dependiente sin Contrato",NA,NA,NA
"29","11","Dependiente sin Contrato",258062.834123223,84580.3920466987,0.327751155388429
"30","12","Dependiente sin Contrato",607135.526520052,129503.220529483,0.213301997449833
"31","13","Dependiente sin Contrato",290849.922239502,77839.9699173763,0.267629330336484
"32","14","Dependiente sin Contrato",426492.127868852,119172.75907699,0.279425460142693
"33","15","Dependiente sin Contrato",258468.176914779,94101.6603799535,0.364074453974194
"34","16","Dependiente sin Contrato",102331.90990991,8795.47185962639,0.0859504319558745
"35","17","Dependiente sin Contrato",85000,0,0
"36","99","Dependiente sin Contrato",1e+05,0,0
"37","1","No remunerado",NA,NA,NA
"38","2","No remunerado",NA,NA,NA
"39","3","No remunerado",NA,NA,NA
"40","4","No remunerado",NA,NA,NA
"41","5","No remunerado",NA,NA,NA
"42","6","No remunerado",NA,NA,NA
"43","7","No remunerado",NA,NA,NA
"44","8","No remunerado",NA,NA,NA
"45","9","No remunerado",NA,NA,NA
"46","10","No remunerado",NA,NA,NA
"47","11","No remunerado",NA,NA,NA
"48","12","No remunerado",NA,NA,NA
"49","13","No remunerado",NA,NA,NA
"50","14","No remunerado",NA,NA,NA
"51","15","No remunerado",NA,NA,NA
"52","16","No remunerado",NA,NA,NA
"53","17","No remunerado",NA,NA,NA
"54","99","No remunerado",NA,NA,NA
"55","1","Patrón o empleador",288017.366136035,50400.5085776903,0.174991214084936
"56","2","Patrón o empleador",1e+06,0,0
