"","sector","b1","mes","trabaja","se trabaja","Freq","cv"
"1","Administracion Publica",10,1,2004.78795126,1006.80993717706,8,50.22
"2","Administracion Publica",10,2,2096.40102976,1048.9313913518,9,50.03
"3","Administracion Publica",10,3,1188.11098352,696.469362018058,6,58.62
"4","Administracion Publica",10,4,2040.51369346,1031.05868119749,8,50.53
"5","Administracion Publica",1,1,84.89429668,84.89429668,1,100
"6","Administracion Publica",1,2,421.02292071,421.02292071,1,100
"7","Administracion Publica",1,3,505.62622363,436.351091312534,2,86.3
"8","Administracion Publica",2,1,3446.22573001,1180.06999311775,12,34.24
"9","Administracion Publica",2,2,1862.44095362,1015.08665727622,5,54.5
"10","Administracion Publica",2,3,3183.67802704,2188.09432071245,9,68.73
"11","Administracion Publica",2,4,1708.53441707,644.049682280061,9,37.7
"12","Administracion Publica",3,1,3759.82096403,1594.70535503495,11,42.41
"13","Administracion Publica",3,2,3272.9949564,1234.06360783973,12,37.7
"14","Administracion Publica",3,3,1953.29984354,717.894243878232,8,36.75
"15","Administracion Publica",3,4,3718.27399718,2364.67572711516,9,63.6
"16","Administracion Publica",4,1,1138.92759355,544.485941296732,5,47.81
"17","Administracion Publica",4,2,4342.44590639,1296.84134344525,13,29.86
"18","Administracion Publica",4,3,2206.8657471,832.672528131985,8,37.73
"19","Administracion Publica",4,4,3312.25405592,1111.09071477327,11,33.54
"20","Administracion Publica",5,1,952.10178033,534.876545869365,3,56.18
"21","Administracion Publica",5,2,1179.19166921,882.450354838159,2,74.84
"22","Administracion Publica",5,3,1021.97063936,727.115873400231,3,71.15
"23","Administracion Publica",5,4,657.65127838,657.65127838,2,100
"24","Administracion Publica",6,1,462.4800812,462.4800812,1,100
"25","Administracion Publica",7,1,390.37619105,346.9398723433,2,88.87
"26","Administracion Publica",7,3,673.46589168,476.818094826346,2,70.8
"27","Administracion Publica",7,4,10.89288452,10.89288452,1,100
"28","Administracion Publica",8,1,1705.81561748,751.332677700396,6,44.05
