"","codigo","ocupado","se_ocupado","cv","frecuencia","etiqueta"
"1","1314",8422,1053.30162638353,0.12506549826449,120,"Gerentes de comercios mayoristas y minoristas"
"2","2331",5346,900.979657991355,0.168533419003246,76,"Maestros de nivel superior de la enseñanza primaria"
"3","4115",4665,1040.77180070474,0.223102208082474,52,"Secretarios"
"4","5122",3912,616.515090125117,0.157595881933823,62,"Cocineros"
"5","5131",4008,640.329570773878,0.15976286695955,57,"Niñeras y celadoras infantiles"
"6","5220",11878,1487.4520308224,0.125227481968547,148,"Vendedores y demostradores de tiendas y almacenes"
"7","6111",5049,856.298309511233,0.169597605369624,85,"Agricultores y trabajadores calificados de cultivos extensivos"
"8","6112",12790,1604.93166659173,0.12548332029646,215,"Agricultores y trabajadores calificados de plantaciones de árboles y arbustos"
"9","6210",2713,557.689474371872,0.205561914622879,56,"Trabajadores agropecuarios y pesqueros de subsistencia"
"10","7124",5757,1089.66231349864,0.189276066266917,98,"Carpinteros de armar y de blanco"
"11","8322",3110,473.720689199122,0.152321765015795,51,"Conductores de automóviles, taxis y camionetas"
"12","8324",3405,583.185819093773,0.171273368309478,60,"Conductores de camiones pesados"
"13","9131",8492,1137.66440921024,0.133968960104833,114,"Personal doméstico"
"14","9132",3566,529.339772174352,0.148440766173402,59,"Limpiadores de oficinas, hoteles y otros establecimientos"
"15","9211",11717,1712.64472173608,0.146167510603062,201,"Mozos de labranza y peones agropecuarios"
