"","sector","mes","conmutante.x","se conmutante","cv","conmutante.y","Freq"
"1","Administracion Publica",1,0.145234673188126,0.0914776906969198,62.99,"0",29
"2","Administracion Publica",1,0.145234673188126,0.0914776906969198,62.99,"1",0
"3","Administracion Publica",10,0.103801608323678,0.0670506917011396,64.6,"0",38
"4","Administracion Publica",10,0.103801608323678,0.0670506917011396,64.6,"1",3
"5","Administracion Publica",11,0.0980349510393989,0.0656047925915062,66.92,"0",37
"6","Administracion Publica",11,0.0980349510393989,0.0656047925915062,66.92,"1",5
"7","Administracion Publica",12,0.0760328760623078,0.0609142529766346,80.12,"0",42
"8","Administracion Publica",12,0.0760328760623078,0.0609142529766346,80.12,"1",5
"9","Administracion Publica",13,0.0838523020818187,0.0521481113842508,62.19,"0",44
"10","Administracion Publica",13,0.0838523020818187,0.0521481113842508,62.19,"1",5
"11","Administracion Publica",14,0.101001105906613,0.0538127494561424,53.28,"0",47
"12","Administracion Publica",14,0.101001105906613,0.0538127494561424,53.28,"1",4
"13","Administracion Publica",15,0.105610528961125,0.0564161304682244,53.42,"0",45
"14","Administracion Publica",15,0.105610528961125,0.0564161304682244,53.42,"1",3
"15","Administracion Publica",16,0.149006272302952,0.0673204654067233,45.18,"0",46
"16","Administracion Publica",16,0.149006272302952,0.0673204654067233,45.18,"1",4
"17","Administracion Publica",17,0.119250718252153,0.0594224951955268,49.83,"0",50
"18","Administracion Publica",17,0.119250718252153,0.0594224951955268,49.83,"1",3
"19","Administracion Publica",18,0.154406437206253,0.0633363437299565,41.02,"0",51
"20","Administracion Publica",18,0.154406437206253,0.0633363437299565,41.02,"1",6
"21","Administracion Publica",19,0.118375137532494,0.0602556777201701,50.9,"1",7
"22","Administracion Publica",19,0.118375137532494,0.0602556777201701,50.9,"0",49
"23","Administracion Publica",2,0.146777017705831,0.0923562684376316,62.92,"1",1
"24","Administracion Publica",2,0.146777017705831,0.0923562684376316,62.92,"0",29
"25","Administracion Publica",20,0.106458181688397,0.0572878014233353,53.81,"1",7
"26","Administracion Publica",20,0.106458181688397,0.0572878014233353,53.81,"0",52
"27","Administracion Publica",21,0.0853188088391162,0.0535353545496455,62.75,"1",6
"28","Administracion Publica",21,0.0853188088391162,0.0535353545496455,62.75,"0",54
"29","Administracion Publica",22,0.0870353926978577,0.0502439254315053,57.73,"1",5
"30","Administracion Publica",22,0.0870353926978577,0.0502439254315053,57.73,"0",59
"31","Administracion Publica",23,0.0893747496434668,0.0513507951019919,57.46,"0",60
"32","Administracion Publica",23,0.0893747496434668,0.0513507951019919,57.46,"1",6
"33","Administracion Publica",24,0.0743865053443607,0.0521212562139787,70.07,"0",57
"34","Administracion Publica",24,0.0743865053443607,0.0521212562139787,70.07,"1",6
"35","Administracion Publica",25,0.0999801180747333,0.0571495792847151,57.16,"0",57
"36","Administracion Publica",25,0.0999801180747333,0.0571495792847151,57.16,"1",7
"37","Administracion Publica",26,0.101189891703237,0.0559897153545571,55.33,"0",59
"38","Administracion Publica",26,0.101189891703237,0.0559897153545571,55.33,"1",7
"39","Administracion Publica",27,0.113847822921948,0.0539618500816184,47.4,"0",62
"40","Administracion Publica",27,0.113847822921948,0.0539618500816184,47.4,"1",8
"41","Administracion Publica",28,0.0430700786112702,0.0266517571767337,61.88,"0",64
"42","Administracion Publica",28,0.0430700786112702,0.0266517571767337,61.88,"1",10
"43","Administracion Publica",29,0.0387938597470089,0.0253735359350626,65.41,"1",8
"44","Administracion Publica",29,0.0387938597470089,0.0253735359350626,65.41,"0",66
"45","Administracion Publica",3,0.0862229851485065,0.0805948499181793,93.47,"0",33
"46","Administracion Publica",3,0.0862229851485065,0.0805948499181793,93.47,"1",2
"47","Administracion Publica",30,0.021466836112543,0.0201818714222055,94.01,"0",63
"48","Administracion Publica",30,0.021466836112543,0.0201818714222055,94.01,"1",7
"49","Administracion Publica",31,0.0212656615004999,0.0200005498367264,94.05,"1",3
"50","Administracion Publica",31,0.0212656615004999,0.0200005498367264,94.05,"0",67
"51","Administracion Publica",32,0.020858767693799,0.0207704600665924,99.58,"0",59
"52","Administracion Publica",32,0.020858767693799,0.0207704600665924,99.58,"1",4
"53","Administracion Publica",33,0.0183228558661424,0.016825417766494,91.83,"0",67
"54","Administracion Publica",33,0.0183228558661424,0.016825417766494,91.83,"1",5
"55","Administracion Publica",34,0.0431744664464571,0.0225515191263003,52.23,"1",8
"56","Administracion Publica",34,0.0431744664464571,0.0225515191263003,52.23,"0",63
"57","Administracion Publica",35,0.0418139554244677,0.0200025418765557,47.84,"0",75
"58","Administracion Publica",35,0.0418139554244677,0.0200025418765557,47.84,"1",8
"59","Administracion Publica",36,0.044089940982658,0.0219027203300226,49.68,"0",70
"60","Administracion Publica",36,0.044089940982658,0.0219027203300226,49.68,"1",6
"61","Administracion Publica",37,0.0323468153387972,0.018915256179703,58.48,"0",74
"62","Administracion Publica",37,0.0323468153387972,0.018915256179703,58.48,"1",6
"63","Administracion Publica",38,0.0311865396266652,0.0190757237608391,61.17,"0",69
"64","Administracion Publica",38,0.0311865396266652,0.0190757237608391,61.17,"1",8
"65","Administracion Publica",39,0.0544286898028819,0.0295920697709999,54.37,"0",68
"66","Administracion Publica",39,0.0544286898028819,0.0295920697709999,54.37,"1",10
"67","Administracion Publica",4,0.0715393444002328,0.0630200967040559,88.09,"0",40
"68","Administracion Publica",4,0.0715393444002328,0.0630200967040559,88.09,"1",2
"69","Administracion Publica",40,0.0439392386852948,0.0275980684726261,62.81,"1",9
"70","Administracion Publica",40,0.0439392386852948,0.0275980684726261,62.81,"0",65
"71","Administracion Publica",41,0.0422339841287225,0.0283253207992284,67.07,"0",67
"72","Administracion Publica",41,0.0422339841287225,0.0283253207992284,67.07,"1",7
"73","Administracion Publica",42,0.0183318008831989,0.013274673774799,72.41,"1",7
"74","Administracion Publica",42,0.0183318008831989,0.013274673774799,72.41,"0",63
"75","Administracion Publica",43,0.0371965559162525,0.025234080361189,67.84,"1",7
"76","Administracion Publica",43,0.0371965559162525,0.025234080361189,67.84,"0",64
"77","Administracion Publica",44,0.0385389221395721,0.026046577917411,67.59,"1",6
"78","Administracion Publica",44,0.0385389221395721,0.026046577917411,67.59,"0",62
"79","Administracion Publica",45,0.0357596404712669,0.0252565058090726,70.63,"1",4
"80","Administracion Publica",45,0.0357596404712669,0.0252565058090726,70.63,"0",64
"81","Administracion Publica",46,0.00275261298433427,0.00280074591539913,101.75,"0",57
"82","Administracion Publica",46,0.00275261298433427,0.00280074591539913,101.75,"1",3
"83","Administracion Publica",47,0.00264319595683322,0.00269583128080353,101.99,"0",55
"84","Administracion Publica",47,0.00264319595683322,0.00269583128080353,101.99,"1",5
"85","Administracion Publica",48,0.0028901510068411,0.00294699836150614,101.97,"0",51
"86","Administracion Publica",48,0.0028901510068411,0.00294699836150614,101.97,"1",6
"87","Administracion Publica",49,0,0,NA,"0",57
"88","Administracion Publica",49,0,0,NA,"1",5
"89","Administracion Publica",5,0.0748686353029996,0.0533694255617425,71.28,"0",46
"90","Administracion Publica",5,0.0748686353029996,0.0533694255617425,71.28,"1",2
"91","Administracion Publica",50,0.0205554431657108,0.0171368401976881,83.37,"1",7
"92","Administracion Publica",50,0.0205554431657108,0.0171368401976881,83.37,"0",55
"93","Administracion Publica",51,0.0210072716793134,0.017409026432173,82.87,"0",53
"94","Administracion Publica",51,0.0210072716793134,0.017409026432173,82.87,"1",8
"95","Administracion Publica",52,0.0684985009249563,0.038943588289268,56.85,"1",10
"96","Administracion Publica",52,0.0684985009249563,0.038943588289268,56.85,"0",47
"97","Administracion Publica",53,0.0479871386648389,0.0341443207260972,71.15,"1",9
"98","Administracion Publica",53,0.0479871386648389,0.0341443207260972,71.15,"0",46
"99","Administracion Publica",54,0.0438270506869878,0.0312682356898792,71.34,"1",8
"100","Administracion Publica",54,0.0438270506869878,0.0312682356898792,71.34,"0",50
"101","Administracion Publica",55,0.0501894461966166,0.0331866798986,66.12,"1",6
"102","Administracion Publica",55,0.0501894461966166,0.0331866798986,66.12,"0",48
"103","Administracion Publica",56,0.048905561122718,0.0321311222358618,65.7,"0",48
"104","Administracion Publica",56,0.048905561122718,0.0321311222358618,65.7,"1",3
"105","Administracion Publica",57,0.0473845160967562,0.0310950774723067,65.62,"1",3
"106","Administracion Publica",57,0.0473845160967562,0.0310950774723067,65.62,"0",50
"107","Administracion Publica",58,0.0748266908090571,0.0429200815867425,57.36,"1",3
"108","Administracion Publica",58,0.0748266908090571,0.0429200815867425,57.36,"0",48
"109","Administracion Publica",59,0.079667815838414,0.0466754742163126,58.59,"1",3
"110","Administracion Publica",59,0.079667815838414,0.0466754742163126,58.59,"0",42
"111","Administracion Publica",6,0.0767591859221427,0.0541977596896853,70.61,"1",2
"112","Administracion Publica",6,0.0767591859221427,0.0541977596896853,70.61,"0",44
"113","Administracion Publica",60,0.0855664620182802,0.0481527064474378,56.28,"1",5
"114","Administracion Publica",60,0.0855664620182802,0.0481527064474378,56.28,"0",40
"115","Administracion Publica",61,0.0444616401768919,0.0349950460764429,78.71,"1",6
"116","Administracion Publica",61,0.0444616401768919,0.0349950460764429,78.71,"0",38
"117","Administracion Publica",62,0.046845525004164,0.0372640425340327,79.55,"0",36
"118","Administracion Publica",62,0.046845525004164,0.0372640425340327,79.55,"1",6
"119","Administracion Publica",63,0.0801082303482311,0.0524972402938596,65.53,"0",37
"120","Administracion Publica",63,0.0801082303482311,0.0524972402938596,65.53,"1",4
"121","Administracion Publica",64,0.0842001914781671,0.0555190188473486,65.94,"0",37
"122","Administracion Publica",64,0.0842001914781671,0.0555190188473486,65.94,"1",4
"123","Administracion Publica",65,0.109944739942721,0.0580628521354585,52.81,"0",38
"124","Administracion Publica",65,0.109944739942721,0.0580628521354585,52.81,"1",3
"125","Administracion Publica",66,0.0716552746714805,0.0425096533994091,59.33,"0",39
"126","Administracion Publica",66,0.0716552746714805,0.0425096533994091,59.33,"1",3
"127","Administracion Publica",67,0.0395079992308366,0.0259876001761191,65.78,"0",38
"128","Administracion Publica",67,0.0395079992308366,0.0259876001761191,65.78,"1",3
"129","Administracion Publica",68,0.0252551223815208,0.0197988656190152,78.4,"0",44
"130","Administracion Publica",68,0.0252551223815208,0.0197988656190152,78.4,"1",6
"131","Administracion Publica",69,0.0457791024879542,0.029254101553473,63.9,"0",47
"132","Administracion Publica",69,0.0457791024879542,0.029254101553473,63.9,"1",8
"133","Administracion Publica",7,0.0912731281181036,0.0549894663702805,60.25,"1",2
"134","Administracion Publica",7,0.0912731281181036,0.0549894663702805,60.25,"0",48
"135","Administracion Publica",70,0.0506614722065469,0.0278493043504364,54.97,"0",46
"136","Administracion Publica",70,0.0506614722065469,0.0278493043504364,54.97,"1",7
"137","Administracion Publica",71,0.0567257690511945,0.0284176346616152,50.1,"0",45
"138","Administracion Publica",71,0.0567257690511945,0.0284176346616152,50.1,"1",7
"139","Administracion Publica",72,0.0771926887390932,0.0430422337914618,55.76,"0",44
"140","Administracion Publica",72,0.0771926887390932,0.0430422337914618,55.76,"1",6
"141","Administracion Publica",73,0.0715254900799637,0.0400468200808421,55.99,"1",6
"142","Administracion Publica",73,0.0715254900799637,0.0400468200808421,55.99,"0",48
"143","Administracion Publica",74,0.0537504143829089,0.0378758095358341,70.47,"0",49
"144","Administracion Publica",74,0.0537504143829089,0.0378758095358341,70.47,"1",8
"145","Administracion Publica",75,0.0566174372490248,0.0404006615056095,71.36,"1",9
"146","Administracion Publica",75,0.0566174372490248,0.0404006615056095,71.36,"0",52
"147","Administracion Publica",76,0.056764339829466,0.040685495334745,71.67,"0",52
"148","Administracion Publica",76,0.056764339829466,0.040685495334745,71.67,"1",9
"149","Administracion Publica",77,0.0616283143801138,0.0410137995868993,66.55,"1",8
"150","Administracion Publica",77,0.0616283143801138,0.0410137995868993,66.55,"0",53
"151","Administracion Publica",78,0.0227843909563043,0.0140358159066141,61.6,"1",6
"152","Administracion Publica",78,0.0227843909563043,0.0140358159066141,61.6,"0",49
"153","Administracion Publica",79,0.0155536698107807,0.0116497736583417,74.9,"1",7
"154","Administracion Publica",79,0.0155536698107807,0.0116497736583417,74.9,"0",46
"155","Administracion Publica",8,0.100915100812078,0.0630910324164308,62.52,"0",42
"156","Administracion Publica",8,0.100915100812078,0.0630910324164308,62.52,"1",3
"157","Administracion Publica",80,0.0373103747453344,0.0243526522351996,65.27,"1",4
"158","Administracion Publica",80,0.0373103747453344,0.0243526522351996,65.27,"0",44
"159","Administracion Publica",81,0.0395461336072946,0.0254883476946164,64.45,"1",4
"160","Administracion Publica",81,0.0395461336072946,0.0254883476946164,64.45,"0",44
"161","Administracion Publica",82,0.034541202699534,0.0221652247616529,64.17,"1",3
"162","Administracion Publica",82,0.034541202699534,0.0221652247616529,64.17,"0",50
"163","Administracion Publica",83,0,0,NA,"1",1
"164","Administracion Publica",83,0,0,NA,"0",50
"165","Administracion Publica",84,0,0,NA,"1",1
"166","Administracion Publica",84,0,0,NA,"0",51
"167","Administracion Publica",85,0,0,NA,"1",2
"168","Administracion Publica",85,0,0,NA,"0",52
"169","Administracion Publica",86,0,0,NA,"1",3
"170","Administracion Publica",86,0,0,NA,"0",46
"171","Administracion Publica",9,0.120866186948739,0.0660382753759677,54.64,"0",39
"172","Administracion Publica",9,0.120866186948739,0.0660382753759677,54.64,"1",3
"173","Agropecuario-Silvicola",1,0.0405787166216258,0.0239388589239229,58.99,"1",7
"174","Agropecuario-Silvicola",1,0.0405787166216258,0.0239388589239229,58.99,"0",116
"175","Agropecuario-Silvicola",10,0.0966937056726185,0.0277333586554114,28.68,"1",7
"176","Agropecuario-Silvicola",10,0.0966937056726185,0.0277333586554114,28.68,"0",144
"177","Agropecuario-Silvicola",11,0.0904041190018006,0.0275959544513097,30.53,"0",159
"178","Agropecuario-Silvicola",11,0.0904041190018006,0.0275959544513097,30.53,"1",11
"179","Agropecuario-Silvicola",12,0.0642548371179309,0.0203166776531283,31.62,"0",181
"180","Agropecuario-Silvicola",12,0.0642548371179309,0.0203166776531283,31.62,"1",10
"181","Agropecuario-Silvicola",13,0.0597395552657156,0.0201316657826731,33.7,"0",172
"182","Agropecuario-Silvicola",13,0.0597395552657156,0.0201316657826731,33.7,"1",12
"183","Agropecuario-Silvicola",14,0.0452171829646274,0.0147038378718291,32.52,"1",12
"184","Agropecuario-Silvicola",14,0.0452171829646274,0.0147038378718291,32.52,"0",169
"185","Agropecuario-Silvicola",15,0.0445944950996901,0.0158837453536858,35.62,"0",149
"186","Agropecuario-Silvicola",15,0.0445944950996901,0.0158837453536858,35.62,"1",10
"187","Agropecuario-Silvicola",16,0.0280675235198986,0.0140140745669629,49.93,"0",139
"188","Agropecuario-Silvicola",16,0.0280675235198986,0.0140140745669629,49.93,"1",8
"189","Agropecuario-Silvicola",17,0.0240419255578738,0.01451079803703,60.36,"0",132
"190","Agropecuario-Silvicola",17,0.0240419255578738,0.01451079803703,60.36,"1",4
"191","Agropecuario-Silvicola",18,0.0295987788608866,0.0168828291729301,57.04,"0",123
"192","Agropecuario-Silvicola",18,0.0295987788608866,0.0168828291729301,57.04,"1",5
"193","Agropecuario-Silvicola",19,0.0668734324199121,0.0311269032388688,46.55,"1",4
"194","Agropecuario-Silvicola",19,0.0668734324199121,0.0311269032388688,46.55,"0",128
"195","Agropecuario-Silvicola",2,0.0445362239529133,0.0201330520915296,45.21,"0",99
"196","Agropecuario-Silvicola",2,0.0445362239529133,0.0201330520915296,45.21,"1",3
"197","Agropecuario-Silvicola",20,0.0795711375300259,0.0316526973918995,39.78,"1",7
"198","Agropecuario-Silvicola",20,0.0795711375300259,0.0316526973918995,39.78,"0",125
"199","Agropecuario-Silvicola",21,0.066050216475594,0.0281466077934479,42.61,"0",141
"200","Agropecuario-Silvicola",21,0.066050216475594,0.0281466077934479,42.61,"1",7
"201","Agropecuario-Silvicola",22,0.0458360432588178,0.0179287324420341,39.11,"0",136
"202","Agropecuario-Silvicola",22,0.0458360432588178,0.0179287324420341,39.11,"1",9
"203","Agropecuario-Silvicola",23,0.0470070645570186,0.0178640852710476,38,"1",10
"204","Agropecuario-Silvicola",23,0.0470070645570186,0.0178640852710476,38,"0",152
"205","Agropecuario-Silvicola",24,0.0370769236124687,0.0145451148516012,39.23,"0",156
"206","Agropecuario-Silvicola",24,0.0370769236124687,0.0145451148516012,39.23,"1",10
"207","Agropecuario-Silvicola",25,0.0677807071153849,0.0198711259362247,29.32,"0",162
"208","Agropecuario-Silvicola",25,0.0677807071153849,0.0198711259362247,29.32,"1",10
"209","Agropecuario-Silvicola",26,0.0590559342740695,0.0187725967880503,31.79,"0",150
"210","Agropecuario-Silvicola",26,0.0590559342740695,0.0187725967880503,31.79,"1",12
"211","Agropecuario-Silvicola",27,0.115818467270547,0.0428793897162279,37.02,"0",131
"212","Agropecuario-Silvicola",27,0.115818467270547,0.0428793897162279,37.02,"1",12
"213","Agropecuario-Silvicola",28,0.102739471782306,0.0531988676289314,51.78,"0",97
"214","Agropecuario-Silvicola",28,0.102739471782306,0.0531988676289314,51.78,"1",12
"215","Agropecuario-Silvicola",29,0.101976774703093,0.0570195986666242,55.91,"0",86
"216","Agropecuario-Silvicola",29,0.101976774703093,0.0570195986666242,55.91,"1",10
"217","Agropecuario-Silvicola",3,0.0481371354358166,0.0191383139135431,39.76,"1",2
"218","Agropecuario-Silvicola",3,0.0481371354358166,0.0191383139135431,39.76,"0",90
"219","Agropecuario-Silvicola",30,0.0608996165817988,0.0318906234702782,52.37,"1",9
"220","Agropecuario-Silvicola",30,0.0608996165817988,0.0318906234702782,52.37,"0",91
"221","Agropecuario-Silvicola",31,0.0838879369294331,0.0395099640992631,47.1,"1",7
"222","Agropecuario-Silvicola",31,0.0838879369294331,0.0395099640992631,47.1,"0",101
"223","Agropecuario-Silvicola",32,0.0759076572502674,0.0362457897249704,47.75,"1",3
"224","Agropecuario-Silvicola",32,0.0759076572502674,0.0362457897249704,47.75,"0",116
"225","Agropecuario-Silvicola",33,0.0669092887301735,0.0314211921794063,46.96,"1",5
"226","Agropecuario-Silvicola",33,0.0669092887301735,0.0314211921794063,46.96,"0",113
"227","Agropecuario-Silvicola",34,0.0833405600418845,0.0465259085423092,55.83,"1",9
"228","Agropecuario-Silvicola",34,0.0833405600418845,0.0465259085423092,55.83,"0",125
"229","Agropecuario-Silvicola",35,0.109447077013694,0.0450391892425524,41.15,"1",10
"230","Agropecuario-Silvicola",35,0.109447077013694,0.0450391892425524,41.15,"0",133
"231","Agropecuario-Silvicola",36,0.0912597988219827,0.043603991438017,47.78,"1",11
"232","Agropecuario-Silvicola",36,0.0912597988219827,0.043603991438017,47.78,"0",144
"233","Agropecuario-Silvicola",37,0.0666489374450122,0.0256128660397862,38.43,"1",9
"234","Agropecuario-Silvicola",37,0.0666489374450122,0.0256128660397862,38.43,"0",132
"235","Agropecuario-Silvicola",38,0.0504229235232973,0.0183519634295819,36.4,"1",11
"236","Agropecuario-Silvicola",38,0.0504229235232973,0.0183519634295819,36.4,"0",114
"237","Agropecuario-Silvicola",39,0.0628522992005855,0.0217266109216915,34.57,"1",8
"238","Agropecuario-Silvicola",39,0.0628522992005855,0.0217266109216915,34.57,"0",104
"239","Agropecuario-Silvicola",4,0.0440268286051909,0.0164051249014337,37.26,"0",107
"240","Agropecuario-Silvicola",4,0.0440268286051909,0.0164051249014337,37.26,"1",1
"241","Agropecuario-Silvicola",40,0.0348478007655141,0.0168757858798251,48.43,"1",7
"242","Agropecuario-Silvicola",40,0.0348478007655141,0.0168757858798251,48.43,"0",98
"243","Agropecuario-Silvicola",41,0.0298599520173743,0.0159459854380308,53.4,"1",5
"244","Agropecuario-Silvicola",41,0.0298599520173743,0.0159459854380308,53.4,"0",94
"245","Agropecuario-Silvicola",42,0.0294619924423797,0.015610102123955,52.98,"0",97
"246","Agropecuario-Silvicola",42,0.0294619924423797,0.015610102123955,52.98,"1",6
"247","Agropecuario-Silvicola",43,0.0281616453085637,0.01496683958852,53.15,"1",6
"248","Agropecuario-Silvicola",43,0.0281616453085637,0.01496683958852,53.15,"0",104
"249","Agropecuario-Silvicola",44,0.0235890801097832,0.0141525908108025,60,"1",8
"250","Agropecuario-Silvicola",44,0.0235890801097832,0.0141525908108025,60,"0",110
"251","Agropecuario-Silvicola",45,0.0213670386068802,0.012641271512612,59.16,"0",111
"252","Agropecuario-Silvicola",45,0.0213670386068802,0.012641271512612,59.16,"1",9
"253","Agropecuario-Silvicola",46,0.0748641617683764,0.0435490604163143,58.17,"1",10
"254","Agropecuario-Silvicola",46,0.0748641617683764,0.0435490604163143,58.17,"0",117
"255","Agropecuario-Silvicola",47,0.0673797788808985,0.0367413340316448,54.53,"0",137
"256","Agropecuario-Silvicola",47,0.0673797788808985,0.0367413340316448,54.53,"1",11
"257","Agropecuario-Silvicola",48,0.0742157250566524,0.035804897670354,48.24,"0",143
"258","Agropecuario-Silvicola",48,0.0742157250566524,0.035804897670354,48.24,"1",10
"259","Agropecuario-Silvicola",49,0.0311589732873897,0.013271469898681,42.59,"1",10
"260","Agropecuario-Silvicola",49,0.0311589732873897,0.013271469898681,42.59,"0",144
"261","Agropecuario-Silvicola",5,0.0403532297656611,0.0147108065583026,36.46,"0",112
"262","Agropecuario-Silvicola",5,0.0403532297656611,0.0147108065583026,36.46,"1",1
"263","Agropecuario-Silvicola",50,0.0545047093837683,0.027935107255432,51.25,"0",126
"264","Agropecuario-Silvicola",50,0.0545047093837683,0.027935107255432,51.25,"1",5
"265","Agropecuario-Silvicola",51,0.0454051717993405,0.0298109970179707,65.66,"1",6
"266","Agropecuario-Silvicola",51,0.0454051717993405,0.0298109970179707,65.66,"0",122
"267","Agropecuario-Silvicola",52,0.066893624869958,0.0338657286544359,50.63,"1",6
"268","Agropecuario-Silvicola",52,0.066893624869958,0.0338657286544359,50.63,"0",111
"269","Agropecuario-Silvicola",53,0.061313184987555,0.0245558120899591,40.05,"1",9
"270","Agropecuario-Silvicola",53,0.061313184987555,0.0245558120899591,40.05,"0",99
"271","Agropecuario-Silvicola",54,0.0680657232258757,0.0270616544684483,39.76,"1",9
"272","Agropecuario-Silvicola",54,0.0680657232258757,0.0270616544684483,39.76,"0",91
"273","Agropecuario-Silvicola",55,0.0763581225360782,0.0281331463973823,36.84,"0",94
"274","Agropecuario-Silvicola",55,0.0763581225360782,0.0281331463973823,36.84,"1",10
"275","Agropecuario-Silvicola",56,0.0711666501784741,0.0276661249729092,38.88,"0",102
"276","Agropecuario-Silvicola",56,0.0711666501784741,0.0276661249729092,38.88,"1",9
"277","Agropecuario-Silvicola",57,0.0731077926071223,0.026016865974961,35.59,"0",107
"278","Agropecuario-Silvicola",57,0.0731077926071223,0.026016865974961,35.59,"1",7
"279","Agropecuario-Silvicola",58,0.0559736674003309,0.0195406770317495,34.91,"0",120
"280","Agropecuario-Silvicola",58,0.0559736674003309,0.0195406770317495,34.91,"1",9
"281","Agropecuario-Silvicola",59,0.0560670179452236,0.019126943316203,34.11,"1",9
"282","Agropecuario-Silvicola",59,0.0560670179452236,0.019126943316203,34.11,"0",138
"283","Agropecuario-Silvicola",6,0.0900541249213799,0.0440508880555445,48.92,"0",119
"284","Agropecuario-Silvicola",6,0.0900541249213799,0.0440508880555445,48.92,"1",2
"285","Agropecuario-Silvicola",60,0.0411888526215844,0.017045482039013,41.38,"0",145
"286","Agropecuario-Silvicola",60,0.0411888526215844,0.017045482039013,41.38,"1",11
"287","Agropecuario-Silvicola",61,0.0331603333621947,0.015930234333702,48.04,"0",133
"288","Agropecuario-Silvicola",61,0.0331603333621947,0.015930234333702,48.04,"1",11
"289","Agropecuario-Silvicola",62,0.0348427579564468,0.015571759655215,44.69,"0",117
"290","Agropecuario-Silvicola",62,0.0348427579564468,0.015571759655215,44.69,"1",10
"291","Agropecuario-Silvicola",63,0.037667651872411,0.0165581413623349,43.96,"0",111
"292","Agropecuario-Silvicola",63,0.037667651872411,0.0165581413623349,43.96,"1",9
"293","Agropecuario-Silvicola",64,0.0431366222876997,0.0176740980007681,40.97,"0",108
"294","Agropecuario-Silvicola",64,0.0431366222876997,0.0176740980007681,40.97,"1",12
"295","Agropecuario-Silvicola",65,0.042798257700578,0.016531954141401,38.63,"0",102
"296","Agropecuario-Silvicola",65,0.042798257700578,0.016531954141401,38.63,"1",13
"297","Agropecuario-Silvicola",66,0.0434721213601172,0.0166379409460021,38.27,"0",100
"298","Agropecuario-Silvicola",66,0.0434721213601172,0.0166379409460021,38.27,"1",13
"299","Agropecuario-Silvicola",67,0.0396089073204545,0.0163402908493093,41.25,"0",103
"300","Agropecuario-Silvicola",67,0.0396089073204545,0.0163402908493093,41.25,"1",14
"301","Agropecuario-Silvicola",68,0.0486770690755111,0.0220593495295692,45.32,"0",98
"302","Agropecuario-Silvicola",68,0.0486770690755111,0.0220593495295692,45.32,"1",18
"303","Agropecuario-Silvicola",69,0.082303962322511,0.0301753991751428,36.66,"0",96
"304","Agropecuario-Silvicola",69,0.082303962322511,0.0301753991751428,36.66,"1",18
"305","Agropecuario-Silvicola",7,0.0903093776405196,0.0425377772644028,47.1,"1",6
"306","Agropecuario-Silvicola",7,0.0903093776405196,0.0425377772644028,47.1,"0",124
