"","sector","I(b10 == 1 | b10 == 2)TRUE","se.I(b10 == 1 | b10 == 2)TRUE","cv"
"1","Agropecuario-Silvicola",21878.14792297,8977.10033799064,0.410322682230589
"2","Agropecuario-Silvicola",18199.83646844,5303.44834300539,0.291400878914599
"3","Agropecuario-Silvicola",19217.27482285,5419.84247140445,0.282029711359494
"4","Agropecuario-Silvicola",13145.49790766,4665.60459430492,0.354920340566654
"5","Agropecuario-Silvicola",10240.95649056,4391.48444101934,0.428815847920784
"6","Agropecuario-Silvicola",9183.02011094,4358.10688506105,0.474583179870108
"7","Agropecuario-Silvicola",11148.75291277,4294.84151357137,0.385230666351209
"8","Agropecuario-Silvicola",9763.05599095,2375.45590254864,0.24331069131946
"9","Agropecuario-Silvicola",10649.70255412,2586.78901568999,0.242897771326886
"10","Agropecuario-Silvicola",17224.07389453,4031.03517912884,0.234034944567267
"11","Agropecuario-Silvicola",22423.28453588,7704.06552244839,0.343574355046913
"12","Agropecuario-Silvicola",27555.24750384,7900.01125357814,0.286697161855549
"13","Agropecuario-Silvicola",25206.8159439,7652.98146670285,0.303607622784855
"14","Agropecuario-Silvicola",23555.85242865,4902.12495417685,0.20810645545625
"15","Agropecuario-Silvicola",19098.77278686,4441.13731631107,0.232535219193067
"16","Agropecuario-Silvicola",13953.29018238,4343.56524519335,0.311293264055981
"17","Agropecuario-Silvicola",10922.70063922,3321.58926503094,0.304099633849174
"18","Agropecuario-Silvicola",10266.58262408,3320.19406459202,0.323398173098475
"19","Agropecuario-Silvicola",11222.30681284,3036.80463008092,0.270604313420335
"20","Agropecuario-Silvicola",10138.08927662,2010.02338553407,0.198264518164137
"21","Agropecuario-Silvicola",11785.98006733,1973.10422897304,0.167411128960107
"22","Agropecuario-Silvicola",14383.42146037,1994.92465999025,0.138696113820121
"23","Agropecuario-Silvicola",19080.76577382,3952.87651693811,0.20716550707633
"24","Agropecuario-Silvicola",20620.35683141,3999.4729617299,0.193957504927252
"25","Agropecuario-Silvicola",20913.46259089,4574.73990733369,0.218746173066839
"26","Agropecuario-Silvicola",16803.56976922,3793.75439070771,0.225770740551626
"27","Agropecuario-Silvicola",14450.25782273,3602.61305025437,0.249311333711121
"28","Agropecuario-Silvicola",10252.37332586,3058.92700416848,0.298362818729281
"29","Agropecuario-Silvicola",9449.66295815,2784.8145243127,0.294699878360307
"30","Agropecuario-Silvicola",9526.96621873,2619.9109529637,0.274999500660867
"31","Agropecuario-Silvicola",8973.77444743,2616.96483166587,0.291623646994531
"32","Agropecuario-Silvicola",10325.57366068,2890.71978808888,0.279957306304133
"33","Agropecuario-Silvicola",9679.51401677,2840.6257160583,0.29346780335633
"34","Agropecuario-Silvicola",14083.0574357,3301.03776385658,0.234397805940107
"35","Agropecuario-Silvicola",18840.15520762,4136.89373323647,0.219578537843642
"36","Agropecuario-Silvicola",21048.08353868,4192.10069908512,0.199167809809445
"37","Agropecuario-Silvicola",17576.87315645,3962.00042882121,0.225409854958606
"38","Agropecuario-Silvicola",12278.41160907,2783.66838525916,0.226712418013653
"39","Agropecuario-Silvicola",9374.81380023,2525.06748178049,0.269345880951635
"40","Agropecuario-Silvicola",8928.4082619,2468.75225039009,0.276505305086119
"41","Agropecuario-Silvicola",8838.36132293,3292.94955614869,0.37257467033007
"42","Agropecuario-Silvicola",8914.63099429,3213.4031088751,0.360463950884041
"43","Agropecuario-Silvicola",7984.13226635,3253.01388494802,0.407434869116361
"44","Agropecuario-Silvicola",8328.49800619,2837.17219741861,0.340658327024866
"45","Agropecuario-Silvicola",9669.26347841,2931.73180029192,0.303201149377926
"46","Agropecuario-Silvicola",11985.99759,2984.7021572725,0.24901574815622
"47","Agropecuario-Silvicola",17947.48111765,4879.02076552895,0.271849889884035
"48","Agropecuario-Silvicola",17665.95181799,4991.92316443529,0.282573122346672
"49","Agropecuario-Silvicola",17707.44915813,4999.7261821937,0.282351576308109
"50","Agropecuario-Silvicola",14167.66555043,3551.24547128375,0.250658477124763
"51","Agropecuario-Silvicola",12058.22263474,3360.03742883459,0.278651135462887
"52","Agropecuario-Silvicola",10321.98270939,3364.58468177423,0.325963022464031
"53","Agropecuario-Silvicola",6323.02794945,1930.29614053268,0.305280342893405
"54","Agropecuario-Silvicola",6445.95794021,1877.88817589179,0.29132802188756
"55","Agropecuario-Silvicola",7406.96227683,1845.76431760269,0.249193157548068
"56","Agropecuario-Silvicola",9120.32941286,2618.61607090612,0.287118584468427
"57","Agropecuario-Silvicola",10801.67297879,2761.81454729834,0.255683962356701
"58","Agropecuario-Silvicola",12361.68079182,2964.78573177086,0.239836781235503
"59","Agropecuario-Silvicola",16549.53704852,4540.30428280688,0.274346301621344
"60","Agropecuario-Silvicola",16889.47251411,4368.86868787476,0.258674075476595
"61","Agropecuario-Silvicola",17435.3497882,4428.25771606342,0.253981581663501
"62","Agropecuario-Silvicola",14670.92175446,4027.76738873635,0.274540854088592
"63","Agropecuario-Silvicola",11518.93478636,4219.80525017033,0.366336412909217
"64","Agropecuario-Silvicola",8510.04911747,3818.24157861973,0.44867444663526
"65","Agropecuario-Silvicola",5682.08441176,2646.65492548205,0.465789441635954
"66","Agropecuario-Silvicola",6445.78690859,2690.98701240443,0.417479983525096
"67","Agropecuario-Silvicola",5803.43799334,2761.40456855242,0.475822188799363
"68","Agropecuario-Silvicola",5682.02935462,2010.01090708863,0.353748772074595
"69","Agropecuario-Silvicola",6853.35462254,2222.55911085037,0.324302364792359
"70","Agropecuario-Silvicola",10300.91418821,2384.74944228162,0.231508524263905
