"","region","estimate","estimate_cv"
"1",1,0.0249213222339607,0.20007632669535
"2",2,0.00426823726381971,0.452044257116539
"3",3,0.0279799316416468,0.201399323860619
"4",4,0.0576983254958867,0.118576306451075
"5",5,0.0163973189204956,0.144248651631834
"6",6,0.0176566229157555,0.230790459507444
"7",7,0.0167254341332949,0.201126833571005
"8",8,0.0329348125302218,0.130772896682988
"9",9,0.016177926962543,0.277484573284318
"10",10,0.0106324726935392,0.243396515350098
"11",11,0.000909987638675747,1.00874344744046
"12",12,0.00129603931125647,1.00253385130629
"13",13,0.0132554593294922,0.160911802381971
"14",14,0.0236110326470598,0.250071387748162
"15",15,0.0575402784326766,0.123374162345375
"16",16,0.0460207066193297,0.255659331206075
