"","sector","ingreso","se","cv","n","confiable"
"1","Actividades Inmobiliarias, Empresariales y de Alquiler",481354.806677437,16392.1887434159,3.40542745517872,1857,"confiable"
"2","Actividad no especificada",482490.543209877,61076.1516992704,12.6585178836766,162,"confiable"
"3","Administracion Publica",396158.753036437,21060.4685186647,5.31616892400902,494,"confiable"
"4","Agricultura, Ganadería, Caza y Silvicultura",355193.683325549,9640.00742366335,2.71401431844381,2141,"confiable"
"5","Comercio",498863.949388444,16346.8128890371,3.27680781685601,2371,"confiable"
"6","Construcción",558928.934759358,17230.0447988866,3.08268971730813,1870,"confiable"
"7","Electricidad, Gas y Agua",1005850.49681529,112673.013799949,11.2017654866895,157,"confiable"
"8","Explotación de Minas y Canteras",920491.655172414,167178.790713191,18.1619018242895,58,"confiable"
"9","Hoteles y Restaurantes",380472.166153846,16314.1509467467,4.28786975711386,650,"confiable"
"10","Industria Manufacturera",597513.758513932,22363.806224863,3.74281025435862,1292,"confiable"
"11","Intermediación Financiera",921445.218673219,58206.6279048042,6.3168842515256,407,"confiable"
"12","Pesca",823978.896551724,248562.522762322,30.1661272882756,29,"No confiable"
"13","Servicios Sociales y Personales",578980.487329435,16744.7749107288,2.89211385826915,2052,"confiable"
"14","Transporte y Comunicaciones",529744.822033898,20689.8405517253,3.9056239327246,944,"confiable"
